cmg06_10,cmg06_11,cmg06_12,cmg06_13,Taxon,SD_index,SummaryLevel
0.392138963,0.091983383,0.02789988,0.400500011,Trees,ObervedSR,PCSummary
0.056529231,0.009213787,0.006253905,0.050273725,Trees,ObervedSD,PCSummary
0.092319776,0.018669415,0.034530206,0.027905396,Birds,ObervedSR,PCSummary
0.013210839,0.012822712,0.015908647,0.017291447,Birds,ObervedSR,DistPC
0.104079643,0.011008029,0.021069977,0.029017288,Birds,ChaoSR,PCSummary
0.010502045,0.015275525,0.019073558,0.031821696,Birds,ChaoSR,DistPC
0.007646149,0.003665984,7.72E-06,0.000121316,Birds,RarefiedSR,PCSummary
0.006067893,0.001049373,0.000242249,0.002268573,Birds,RarefiedSR,DistPC
0.010407126,0.00494625,8.45E-05,0.000188373,Birds,ObervedSD,PCSummary
0.011838279,0.002533715,0.000684108,0.003327424,Birds,ObervedSD,DistPC
0.010581437,0.004798291,4.75E-05,0.000183106,Birds,ChaoSD,PCSummary
0.011951217,0.002617452,0.000645648,0.003519881,Birds,ChaoSD,DistPC
0.006962616,0.003892249,7.63E-06,0.000734197,Birds,RarefiedSD,PCSummary
0.011406262,0.002096917,0.000377048,0.006614096,Birds,RarefiedSD,DistPC
