count=26219,Mean,Standard Deviation,num_missing,count
INCDHH,10.57524142,3.588594711,,
DHH_AGE,53.80469708,19.00743767,,
FVCDVTOT,4.375447468,2.496219862,,
ALCEDWKY,4.112590409,6.786726239,,
YEAR,2017.404689,3.136962933,,
eexp,9.05433309,21.68127426,,
dist_ChaoEstimated_SpRich,30.31933241,16.48151471,,
bin_stress,0.203314645,0.40246879,,
bin_mh,0.079856372,0.27107356,,
dist_ChaoEstimated_SpDiv,2.385500857,0.575974118,,
ModeledSDiv,1.506773821,0.360290052,,
ModeledSRich,8.288222714,3.616221221,,
treerich,6.834518846,7.411209889,,
treediv,1.044157525,0.902807954,,
area_m,133572.4147,1014297.007,,
PropBlue,0.011524581,0.059796156,,
PropGreen,0.061987105,0.171278108,,
bluedist,275.5447126,211.970852,,
greendist,510.0684683,362.0832332,,
ndvi,0.286614341,0.27321102,,
ndvi500,0.29020399,0.273517648,,
ndvi1000,0.291697326,0.273846181,,
DistancetoLocation,425.8549854,278.5486797,,
,,,,
dichotomous,,,,
,,bin_mh,bin_stress,
value,1,3803,9900,
,0,43820,38793,
,,,,
total count,,,,
48924,,,,
