"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.36112993121691,0.0317350784002293,-42.8903913218967,0
"treediv",0.00508600552443136,0.0146237009643701,0.347791953406539,0.727996433121458
"DistancetoLocation",0.0136582545976116,0.0116303376847453,1.17436440521638,0.240249096187422
"ModeledSRich",-0.0218973193287048,0.0121329418437003,-1.80478235293565,0.0711087469270788
"ndvi",0.0508933336416953,0.0160254332705664,3.1757851898563,0.00149431558578042
"YEAR",-0.0069213191133938,0.0257455901851975,-0.268835131127552,0.788056557465249
"bluedist",0.0281489227930257,0.0136239761626866,2.06613124222282,0.0388160889670109
"greendist",-0.00286297283408213,0.0134422417309579,-0.212983287414674,0.831339998333319
"PropBlue",-0.0195865674113577,0.012630272874807,-1.55076359834046,0.120958347093055
"PropGreen",-0.0098177474093057,0.0145293135262712,-0.675719977516745,0.499218449654609
"area_m",-0.000266824954307262,0.0103982224604736,-0.0256606314513403,0.979528025059263
