"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.40078022450761,0.164950146524345,-14.554580732993,5.4619780373443e-48
"married2",0.264915133695805,0.102895852090596,2.57459487737714,0.0100357557770656
"married3",-0.0445334348269134,0.112334188019628,-0.396437056358411,0.691782633631425
"married4",0.818691462298254,0.112321893601976,7.28879683242672,3.12735233302213e-13
"married5",0.664382432760159,0.0810240953118518,8.199813033432,2.40761190107887e-16
"married6",0.579705295731273,0.0646696436083957,8.96410221837086,3.12818736408665e-19
"married7",1.12204141428792,0.378680534477428,2.96302902349159,0.00304627844396785
"job1",-0.461543230328262,0.05863758044833,-7.8711165569828,3.51489970443663e-15
"job2",-0.321006065268865,0.101321896261133,-3.1681805918984,0.00153396202304102
"white1",0.356280426711678,0.118304394542362,3.01155699321129,0.00259911606214199
"white2",0.215105764581066,0.134593158147183,1.59819241588669,0.110000161086237
"imi2",0.666393020434503,0.366258717486466,1.81945982066386,0.0688413073840985
"imi3",-5.11811345308744,31.0582544979891,-0.164790762900691,0.869108674779911
"imi7",-0.039314492492915,0.106848923260676,-0.367944676400721,0.71291448647024
"INCDHH",-0.264434742098365,0.0255062962616829,-10.3674300410136,3.48778655925311e-25
"EHG2DVR32",-0.49521194843286,0.0818912651236004,-6.04718888742804,1.47394918090459e-09
"EHG2DVR33",-0.565269646750079,0.0753133251185064,-7.5055728300486,6.11605553571125e-14
"EHG2DVR34",-0.532129326879771,0.117005365018371,-4.54790536140134,5.41824891641109e-06
"DHHE_SEX2",0.0496656420547561,0.0473863765974059,1.04809959361769,0.294592723520911
"DHH_AGE",-0.26137612866675,0.0332552682270657,-7.85969088813489,3.85082563934948e-15
"treerich",-0.0319928626206222,0.0325356011100903,-0.983318627259057,0.325450645183145
"DistancetoLocation",0.0178274280508254,0.0240709070816122,0.74062136463664,0.458923050277649
"ModeledSDiv",-0.0760405680465872,0.0241323056185271,-3.15098645146482,0.0016272003820953
"ndvi500",-0.0556712892093218,0.0588626872939839,-0.945782324399786,0.344259622783509
"YEAR",0.275425886527351,0.0774204766445043,3.55753281902459,0.000374354342153985
"bluedist",0.0141841798038088,0.0267406939280527,0.530434245348013,0.595810887752484
"greendist",0.0032150972640783,0.026519642802792,0.121234561414975,0.903505249952117
"PropBlue",-0.0125337208953235,0.0237664997416129,-0.527369239542586,0.597937200345114
"PropGreen",-0.0454460051492891,0.0293367108067785,-1.54911726296148,0.121353533769108
"area_m",0.00552202564618649,0.0212607001691823,0.259729247025964,0.795072630783663
