"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.18980665689331,0.149513783464549,-14.646185830837,1.42493303062704e-48
"married2",0.164969779997799,0.0593744272606369,2.77846520141793,0.00546163629704778
"married3",-0.126074839017488,0.0789295374938958,-1.59730872649847,0.110196906560412
"married4",0.453746666731412,0.0904922278446987,5.01420594385326,5.32529251780647e-07
"married5",0.183406555820893,0.0664098681888077,2.76173648319036,0.0057494862356595
"married6",0.00601456322309389,0.0533526881049388,0.112732149714067,0.910242911925258
"married7",0.464971065681724,0.418094929876645,1.11211840291608,0.266087245185289
"job1",0.613335403527178,0.0512841955311872,11.9595403062176,5.78814529873499e-33
"job2",-0.0608309228048885,0.0752048602992663,-0.808869567243673,0.418590175574353
"white1",0.187381000412698,0.12052158354421,1.55475056751111,0.120005486207674
"white2",0.378728639532203,0.122050245287527,3.10305512815637,0.0019153395825744
"imi2",-0.484981161487021,0.641008811166317,-0.756590475885343,0.449295249055199
"imi7",0.0272677240154695,0.0832047980823959,0.327718168229516,0.743124765106133
"INCDHH",-0.0346064081545844,0.0212274600048329,-1.63026608679067,0.103045271821562
"EHG2DVR32",-0.154565452086534,0.0743213333519835,-2.07969159211013,0.0375538297800468
"EHG2DVR33",0.00836207763673118,0.0676918989260871,0.123531438316744,0.901686280759595
"EHG2DVR34",-0.0344888958803923,0.0924769721490442,-0.372945773189967,0.709188803576591
"DHHE_SEX2",0.289314746537565,0.036770285425568,7.8681670046649,3.59874971819331e-15
"DHH_AGE",-0.253996455311582,0.0280690693181184,-9.04898030044868,1.44309608798901e-19
"treediv",0.0231671541525948,0.0215189406694124,1.07659361622411,0.281661857425054
"DistancetoLocation",0.016760577044391,0.0180699836298155,0.927536924645358,0.35364782952538
"ModeledSRich",0.00592620522276059,0.0187835691316489,0.315499422991735,0.752382489093865
"ndvi",0.0871564476776103,0.0410811547828749,2.12156761751844,0.033874064124679
"YEAR",-0.0253413186903801,0.058660171922489,-0.432002121027961,0.665739871603469
"bluedist",0.0240477263696626,0.0212317478066685,1.13263055819218,0.257369430354023
"greendist",-0.00921159333974394,0.0209434746117612,-0.439831188974298,0.660059376583324
"PropBlue",-0.0175088946849086,0.0195065806961945,-0.89758912428586,0.369404639305408
"PropGreen",-0.0138425829722166,0.0235364282816505,-0.588134393484356,0.556442089247799
"area_m",-0.0227770734023258,0.0205402136076986,-1.10890148648643,0.267472682512439
