"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.6661425041654,0.186135498062202,-8.95123456573887,3.51528506966351e-19
"eexp",-0.0439716981891793,0.0250714438144291,-1.7538558415161,0.0794552117679302
"SMKC_102",0.504712569306244,0.20167860093004,2.50255885839531,0.0123299121879683
"SMKC_103",-0.155778131016419,0.53688074746853,-0.290154064475092,0.771698376422585
"SMKC_106",-0.255446469580347,0.0633986587174716,-4.0292093673261,5.59647586951232e-05
"SMKC_2022",-0.341476099334555,0.110606840979392,-3.08729637616336,0.00201986101343101
"SMKC_2023",-0.731954240384066,0.0673756444510456,-10.8637809159049,1.71498312972397e-27
"SMKC_2024",0.0516871508908238,0.860973797058794,0.0600333611399026,0.952129064249838
"ALCEDWKY",0.0201324356206937,0.0214258534112574,0.939632846088446,0.347405922053127
"FVCDVTOT",-0.0434270503072435,0.0125202299539613,-3.46855053516836,0.000523274101345024
"married2",0.189858627654266,0.103687104728187,1.83107270814413,0.0670896914515931
"married3",-0.0704080694939769,0.112530625702914,-0.625679178927322,0.531525392698688
"married4",0.753111024749631,0.113361734640785,6.64343243455167,3.06460997587222e-11
"married5",0.595120210671758,0.0817994742994011,7.27535495513711,3.45510749194145e-13
"married6",0.53635508429003,0.0651302749022676,8.23511162965099,1.79390284506607e-16
"married7",1.10672438452878,0.38249849926803,2.89340843597207,0.00381085385011889
"job1",-0.473461144769209,0.058997296870443,-8.02513284310163,1.01416136608052e-15
"job2",-0.209133863813083,0.101945100811856,-2.05143613717198,0.0402244928917689
"white1",0.29515711912113,0.118998951545087,2.48033377848123,0.0131259447508374
"white2",0.0678995026950854,0.137015482542037,0.495560804044562,0.620204312666593
"imi2",0.698949035478292,0.366641887116841,1.90635347470692,0.0566043606736642
"imi3",-5.31822925238747,30.7770477316561,-0.17279855100973,0.862809776037872
"imi7",-0.00511176185411947,0.107331674714134,-0.0476258464030686,0.962014432947395
"INCDHH",-0.237033931916134,0.0258432201532018,-9.17199677559404,4.64336907454515e-20
"EHG2DVR32",-0.437577888325084,0.0826178925777382,-5.29640583501148,1.18104197619607e-07
"EHG2DVR33",-0.45750526625284,0.0765135279290005,-5.97940362490374,2.23956013436778e-09
"EHG2DVR34",-0.428909876134805,0.118500350739629,-3.61948191256592,0.000295193442686306
"DHHE_SEX2",0.113478483466606,0.0481606512230138,2.35624894150891,0.0184605416193377
"DHH_AGE",-0.300724128643889,0.0343826234783929,-8.74639856475387,2.20270100291987e-18
"treerich",-0.0248813801715366,0.0328043887044716,-0.75847717802908,0.448165370400056
"DistancetoLocation",0.0121931714452705,0.0242134327247492,0.503570542181219,0.6145631974526
"ModeledSDiv",-0.042684019962268,0.0248191764277124,-1.71980001377517,0.085468800122935
"ndvi500",-0.111555979682876,0.06045576432795,-1.84524967838842,0.0650012269316878
"YEAR",0.361119126873046,0.079704242804972,4.53073906939518,5.87776986001107e-06
"bluedist",0.0102521495287097,0.0269071235118373,0.381019900703971,0.703188481766117
"greendist",0.00361680184791687,0.0267084900747357,0.13541768320846,0.892281643732164
"PropBlue",-0.00933405761679245,0.0237899737646977,-0.392352581348508,0.69479771744089
"PropGreen",-0.043489824948355,0.0294519339260196,-1.47663732567095,0.139772880689257
"area_m",0.00027787303981804,0.0214238474731535,0.0129702678366361,0.98965151369508
