"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.70588508516649,0.183929412560668,-9.27467261172174,1.78165347930423e-20
"eexp",-0.0359419260762286,0.0219403714225827,-1.63816397562142,0.101387492261646
"SMKC_102",0.498423659553129,0.201516323027624,2.47336618723837,0.0133846918076682
"SMKC_103",-0.187583120854649,0.53945076346598,-0.347729827370016,0.72804309394879
"SMKC_106",-0.26489288534906,0.0634598664377012,-4.17417968581933,2.99061656741779e-05
"SMKC_2022",-0.340608231011803,0.110701918148595,-3.07680514220724,0.00209232027605867
"SMKC_2023",-0.730637102877931,0.0676151722633759,-10.8058158904327,3.23072000851384e-27
"SMKC_2024",0.0401641921166408,0.862725175600065,0.0465550249982038,0.962867877987119
"ALCEDWKY",-0.0395906132260011,0.0252052433701565,-1.57072925837634,0.116245550023379
"FVCDVTOT",-0.160032832745461,0.0277488632317045,-5.76718517833247,8.06064689086604e-09
"married2",0.195037251013894,0.103717550375638,1.88046526655826,0.0600446958039987
"married3",-0.07103017369603,0.112637140315811,-0.630610591647445,0.528295171755906
"married4",0.745908663059584,0.113237673232884,6.58710693856764,4.48479274430464e-11
"married5",0.584921349661812,0.0818598382815838,7.14540074767535,8.97337091483008e-13
"married6",0.531000867698103,0.0651417652930802,8.15146573491015,3.59539558171007e-16
"married7",1.11132841932823,0.382474855710456,2.90562478221976,0.00366520674410112
"job1",-0.478962946552839,0.0589586563341379,-8.12370865167618,4.52150398765151e-16
"job2",-0.215067000850068,0.101996184529578,-2.10857888304342,0.0349809472164515
"white1",0.295858869591891,0.119071633556937,2.48471328354137,0.0129655813926029
"white2",0.0888134748762796,0.136126526270401,0.652433271527558,0.514121706579677
"imi2",0.690505087004904,0.3660489233392,1.88637376858242,0.0592446048396153
"imi3",-5.23836782805078,30.7551969475656,-0.170324639344097,0.864754834973363
"imi7",-0.00652741930927911,0.107385994617862,-0.0607846426576129,0.951530721087857
"INCDHH",-0.220075055874778,0.0259464140878518,-8.48190640639693,2.21533742933762e-17
"EHG2DVR32",-0.430707402732831,0.0827017114433705,-5.20796238936065,1.90925611003275e-07
"EHG2DVR33",-0.448032057223468,0.0765564707624718,-5.85230814275069,4.84797344205984e-09
"EHG2DVR34",-0.393423335740897,0.118639539786722,-3.31612324565785,0.000912755660873228
"DHHE_SEX2",0.124453261111336,0.0483292242634554,2.57511398140613,0.0100207058168369
"DHH_AGE",-0.292699364882657,0.0344410743083682,-8.49855501782473,1.91965261371218e-17
"treerich",-0.0259592522274164,0.0328003182350695,-0.79143293797867,0.428691395487499
"DistancetoLocation",0.0118471739882718,0.024230745417689,0.488931470495458,0.624890214583193
"ModeledSDiv",-0.0635489567976156,0.0242545127360399,-2.6200879600928,0.00879070897234246
"ndvi500",-0.0759775476396474,0.0593350771213873,-1.28048283284798,0.200375378546959
"YEAR",0.295180156475448,0.078256483967638,3.77195781754667,0.000161971642790627
"bluedist",0.0100989453402631,0.0269860166838058,0.374228825935746,0.708234079543444
"greendist",0.00227580967022569,0.0267053024293259,0.0852193932739947,0.932086973061498
"PropBlue",-0.00953859893589299,0.0237189570931911,-0.402150857578438,0.687573006035075
"PropGreen",-0.0439765928670902,0.0294787168025879,-1.49180824801809,0.135749421068459
"area_m",0.000240378401081224,0.0213860369809882,0.0112399693919409,0.991031990790436
