"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.0784807763835,0.230340044887545,-9.0235320454081,1.82120607328207e-19
"eexp",-0.0489631835915346,0.0316464257867722,-1.54719474235225,0.121816293407396
"SMKC_102",0.767971161032392,0.251949629970661,3.04811386752908,0.00230282650216604
"SMKC_103",0.615620990427465,0.677179201039642,0.909096129181656,0.363299385665173
"SMKC_106",-0.149982771855756,0.0876986120288806,-1.71020690505757,0.0872276192913354
"SMKC_2022",-0.370266573202332,0.152339360054218,-2.43053780106831,0.0150764332906752
"SMKC_2023",-0.663767983641536,0.0901797500457303,-7.36049926180697,1.83223648200921e-13
"SMKC_2024",-0.108156724299279,1.15347176421594,-0.0937662521568505,0.925294840414526
"FVCDVTOT",-0.239914431985778,0.0392347079163583,-6.11485199525978,9.66466190262623e-10
"married2",-0.00128706421402706,0.146930163448268,-0.00875970041699584,0.99301085966233
"married3",-0.0909931261774014,0.152820082944472,-0.595426493849402,0.551558420249199
"married4",0.414638556037467,0.167861978369095,2.47011598496569,0.0135069250948838
"married5",0.570476389925654,0.109920710029849,5.1898899649642,2.10418387516077e-07
"married6",0.389839383722735,0.0889782076009363,4.38129059051345,1.17978399371926e-05
"married7",1.3160633807185,0.489139619259907,2.69056794603915,0.00713305078638461
"job1",-0.449511787321893,0.0806786277550385,-5.57163402291284,2.5236111718054e-08
"job2",-0.148666404897263,0.144255107022263,-1.03057983849624,0.302737894705099
"white1",0.370007758740456,0.139259734018181,2.65696154993482,0.00788484354361383
"white2",0.337710106405536,0.16287658754315,2.0734109886485,0.0381340471491597
"imi2",0.202987332045637,0.547627643694258,0.370666700965457,0.710885795052091
"imi3",-6.19895113005911,50.5476412335078,-0.12263581403181,0.902395492994044
"imi7",0.029436761448526,0.124145828163855,0.237114383011515,0.812568054480449
"INCDHH",-0.231223495797338,0.0360368450157832,-6.41630796747243,1.39618868423108e-10
"EHG2DVR32",-0.329608904763625,0.118123619053559,-2.790372555502,0.00526474224552038
"EHG2DVR33",-0.302649497173513,0.110785089354312,-2.73186129051702,0.00629776491463382
"EHG2DVR34",-0.264781704060513,0.138703552164724,-1.9089756529527,0.0562652325430864
"DHHE_SEX2",0.173604209855972,0.0663523493684128,2.61639883905326,0.00888626915423862
"DHH_AGE",-0.323235593313026,0.0477742406499906,-6.76589703813722,1.32485741022223e-11
"treerich",-0.125116767036082,0.0474843393380076,-2.63490592436095,0.00841606053217365
"DistancetoLocation",0.0444942363281352,0.0325424264752155,1.36726855208607,0.171541145028649
"ModeledSDiv",-0.0474832666312643,0.0354526454403754,-1.33934339853769,0.180458906624416
"ndvi500",0.0180310776246504,0.0778418868513525,0.231637211712027,0.816819802683765
"YEAR",0.334254612917398,0.0980280966013842,3.4097837712446,0.00065014402798498
"bluedist",0.0274046653980045,0.0368428542938454,0.743825795347848,0.456981872320438
"greendist",0.0571576357413103,0.0362286550166347,1.57769135274456,0.114636533827762
"PropBlue",0.0300506553262425,0.0318140334486657,0.944572318210812,0.344877264973957
"PropGreen",-0.0409607095590501,0.0424595913409486,-0.964698629106849,0.33469578210209
"area_m",0.0153798436714846,0.0333996345561647,0.460479399725824,0.645172154638393
