"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.90431988785031,0.451675274370234,-4.21612604432573,2.48534881900688e-05
"eexp",-0.0836650935799491,0.0704464801094327,-1.18764051021403,0.234975070563061
"SMKC_102",0.89658279758858,0.439485156955772,2.04007526397259,0.0413428300027271
"SMKC_103",-10.8023404464408,218.024913814563,-0.0495463580626775,0.960483894148904
"SMKC_106",-0.327104193360875,0.151702591457699,-2.15622020835474,0.031066474302989
"SMKC_2022",-0.14894048222383,0.264287085542969,-0.563555657355852,0.573056571838938
"SMKC_2023",-0.574900042000758,0.171264749011892,-3.35679143149791,0.000788525707274025
"ALCEDWKY",0.0542173372818542,0.052511615221473,1.03248275744685,0.301846021011248
"FVCDVTOT",-0.322149417001092,0.0771908128580226,-4.17341656439896,3.00065580317229e-05
"married2",0.23115978886483,0.217505759683619,1.06277548328409,0.287883780204794
"married3",0.324393757978294,0.244371514993829,1.32746141867838,0.184356094310723
"married4",-0.0105544280290739,0.34234901266627,-0.0308294390770236,0.975405562585454
"married5",0.126617934576702,0.229760067853238,0.55108764442732,0.581573594864469
"married6",0.525612121905027,0.176418371733311,2.97935026120516,0.00288860374395468
"married7",-10.7452025820694,183.542940166779,-0.0585432628043639,0.953315902831609
"job1",-0.549054260704079,0.15732695417075,-3.4898931565673,0.000483213696710734
"job2",-0.425155229950258,0.265390109080589,-1.60200103697592,0.10915538018335
"white1",-0.3264269828361,0.304316428358286,-1.07265646024139,0.283425282338806
"white2",-0.16707957211642,0.353726129605464,-0.472341617235843,0.636682969399815
"imi2",0.390822181232896,1.1630160261785,0.336041956805255,0.736839227355506
"imi7",-0.077722986630596,0.212668089394163,-0.365466144225064,0.714763474571468
"INCDHH",-0.194328423198415,0.0709053034569935,-2.74067543221618,0.00613130407313074
"EHG2DVR32",0.046881512393123,0.224697469822932,0.208642813958105,0.834727085332194
"EHG2DVR33",-0.0628171530470078,0.213938306332226,-0.293622746313877,0.769046192515765
"EHG2DVR34",0.0203117373653497,0.247795226573609,0.0819698492429028,0.934670689567161
"DHHE_SEX2",0.175229031856974,0.127183716354918,1.37776310426392,0.168276440911249
"DHH_AGE",-0.223538440916025,0.0956796572524111,-2.3363215059008,0.0194744914887549
"treerich",-0.181360963901922,0.0901948931093614,-2.01076754625145,0.0443500155889658
"DistancetoLocation",-0.0120707222636558,0.0615967124616801,-0.195963741915043,0.844638545483593
"ModeledSDiv",0.11046385302333,0.0737872474622205,1.49705886616639,0.134377941618014
"ndvi500",0.0756100749055827,0.217356424429436,0.347862158222654,0.727943705801257
"YEAR",0.31872123837788,0.200287677279723,1.59131726278273,0.11153819373808
"bluedist",0.111699654416536,0.0675386223873666,1.65386338169418,0.0981552743283241
"greendist",0.00924138547251614,0.0725852369600904,0.127317700672347,0.898688951202107
"PropBlue",-0.0257942925535979,0.0743006809049523,-0.347160917496769,0.728470430346053
"PropGreen",0.0326316799401281,0.0923386426349407,0.35339137558191,0.723795050555988
"area_m",-0.0213861457068788,0.0823210264618241,-0.2597895899269,0.795026081366706
