"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.85282956596598,0.260072513174445,-7.12428062216319,1.04625686311582e-12
"eexp",-0.0289578900619902,0.0290372321468998,-0.997267574109397,0.31863464859558
"SMKC_102",0.338012051705988,0.238136784629825,1.41940293781751,0.1557815764234
"SMKC_103",0.415504451009405,0.540986187754789,0.768050017568543,0.442457469900762
"SMKC_106",-0.204720649708317,0.0678949744127327,-3.01525483261578,0.00256763426102263
"SMKC_2022",-0.278158742883058,0.134107557990593,-2.074146655497,0.0380656926910954
"SMKC_2023",-0.550958885644899,0.0788001121130186,-6.99185408333797,2.71276952436383e-12
"SMKC_2024",-1.0739270842329,0.847986140135658,-1.26644414737852,0.205354113777487
"ALCEDWKY",0.0214411924883676,0.0239996772264646,0.893395035526737,0.371645660304513
"FVCDVTOT",-0.0490046409018724,0.0146677093356158,-3.34098800164253,0.000834808305933045
"married2",0.168775469477767,0.105695941729276,1.59680179500231,0.110309895709624
"married3",0.282496137531696,0.106092414369876,2.66273643793997,0.0077508096245218
"married4",0.530732264318917,0.132245854190427,4.01322421461083,5.98949713310775e-05
"married5",0.329171236755648,0.0983191165907041,3.34798814482809,0.000814004933899422
"married6",0.377995393497472,0.0818290810846845,4.6193283425276,3.84984227112805e-06
"married7",0.443251913994266,0.622950867849215,0.711535912173342,0.47675220495617
"job1",-0.473020003134956,0.0723705721891084,-6.53608212325484,6.31512484657208e-11
"job2",-0.286734270831815,0.104504888419216,-2.7437402706139,0.00607435773598453
"white1",0.0227270142342393,0.203408763451233,0.111730752641285,0.911036894911847
"white2",0.438958080355043,0.193313357890483,2.27070744176781,0.0231646942298862
"imi2",-0.830244508838538,1.05154993858495,-0.789543585496077,0.42979436589869
"imi7",-0.163714591359223,0.145206766934042,-1.12745841544415,0.259548712966293
"INCDHH",-0.284776165052348,0.031212271324392,-9.12385266976067,7.25000998869704e-20
"EHG2DVR32",-0.303923041292804,0.0938125234805679,-3.23968517226549,0.00119661740852992
"EHG2DVR33",-0.375116215964544,0.0870087474242733,-4.31124716846453,1.62336320237958e-05
"EHG2DVR34",-0.429595894877414,0.139952277325904,-3.06958845604936,0.00214353918784223
"DHHE_SEX2",0.117371996382421,0.0566664761739556,2.0712774872768,0.0383328718820626
"DHH_AGE",-0.476616631447769,0.0433685309691773,-10.9899187451497,4.27310614807689e-28
"treerich",-0.0852220521273488,0.0406249997974171,-2.09777360128792,0.0359251495628217
"DistancetoLocation",-0.014066673370994,0.0280112209780303,-0.502179943602843,0.615540949783481
"ModeledSDiv",-0.0450333326723189,0.0287048950331758,-1.56883808912283,0.116685670739361
"ndvi500",0.013475410634061,0.0679384013831042,0.198347478888608,0.842773206745367
"YEAR",0.300361624453198,0.0964977074424713,3.11262964078461,0.00185428553553315
"bluedist",0.057148855031191,0.0317287139517165,1.80117149148112,0.0716758542863755
"greendist",-0.0218654103340459,0.032613783825993,-0.670434637413009,0.502580760367228
"PropBlue",-0.015403004074304,0.0302823342419354,-0.508646524777266,0.611000011603469
"PropGreen",-0.0255667146906402,0.0399399120279236,-0.640129469307932,0.522088431700357
"area_m",-0.00293321307910077,0.033918240528815,-0.0864789279564451,0.931085706364249
