"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.94338047068198,0.258801748068966,-7.5091473886185,5.95136911113178e-14
"eexp",0.00170891251261652,0.0237620887686365,0.0719176049401897,0.942667479611317
"SMKC_102",0.364626773210662,0.238489379976259,1.52890151019286,0.126288861820211
"SMKC_103",0.389324445095142,0.53939090477032,0.721785335369942,0.470426466852712
"SMKC_106",-0.196732713716005,0.0679282021203891,-2.89618608435029,0.00377728342842178
"SMKC_2022",-0.26475894947123,0.134174426810253,-1.97324449796717,0.0484677129791542
"SMKC_2023",-0.528283815932713,0.0790460159178555,-6.68324405472509,2.33709869692311e-11
"SMKC_2024",-1.02799223254409,0.845928918549299,-1.21522294604494,0.224281071044279
"ALCEDWKY",0.0109794018248127,0.0251549527208283,0.436470779598076,0.66249519530178
"FVCDVTOT",-0.180496852233332,0.0329425235282703,-5.47914467082144,4.27386812281974e-08
"married2",0.165752186396885,0.105759870576783,1.56725027643209,0.11705620288467
"married3",0.282312859913016,0.106170165979543,2.65906017296246,0.00783589666510015
"married4",0.522640879952193,0.132378109511858,3.94809143203073,7.87767196319731e-05
"married5",0.322812012792213,0.0983341382857179,3.28280715547897,0.00102778949045735
"married6",0.365529620026486,0.0817717443827041,4.47012134553168,7.81752313599505e-06
"married7",0.412593094169228,0.623506444535881,0.661730280071683,0.508144095176189
"job1",-0.481209401978744,0.0723376875452235,-6.65226410061706,2.88618192784091e-11
"job2",-0.276224755760974,0.104531393938917,-2.6425052355313,0.00822951929734394
"white1",0.0182448587199431,0.203415673790428,0.0896924921269348,0.928531582310139
"white2",0.447405472637188,0.192866640116397,2.31976599150156,0.0203535397445426
"imi2",-0.766307909015384,1.05130482184461,-0.728911247330557,0.466055954325669
"imi7",-0.166082707149946,0.145327977026703,-1.14281303949775,0.253116223730719
"INCDHH",-0.276164577811484,0.031260072099689,-8.83441909317387,1.0061975468973e-18
"EHG2DVR32",-0.287313283205721,0.0939058515649935,-3.05958870951581,0.00221641137492601
"EHG2DVR33",-0.355146534932605,0.0871239591089954,-4.07633604538452,4.57508875992377e-05
"EHG2DVR34",-0.378051924100882,0.140018212013816,-2.70001965218338,0.00693353802870377
"DHHE_SEX2",0.137424485657045,0.0567843900072673,2.42011027395834,0.0155158010788646
"DHH_AGE",-0.471748866005185,0.0434477236588749,-10.8578499925352,1.83007162066454e-27
"treerich",-0.0809890440718763,0.0405943895686778,-1.99507973718532,0.0460341839555795
"DistancetoLocation",-0.0164878884329336,0.0280185881907434,-0.588462499276847,0.556221897839045
"ModeledSDiv",-0.0672843025771396,0.0280718904072797,-2.39685684152184,0.0165363830585885
"ndvi500",0.0464542941579526,0.066855040647744,0.694851034534824,0.487148661505847
"YEAR",0.234068420674664,0.0940699267432157,2.48823857717679,0.0128377580637119
"bluedist",0.0546173147629546,0.0317081270043674,1.72250208142007,0.0849786060728259
"greendist",-0.0254050959834083,0.0325574543023813,-0.780315799492658,0.435205015308144
"PropBlue",-0.0189077058826678,0.0302324521300365,-0.625410926025504,0.53170139297029
"PropGreen",-0.0295437177296609,0.0399148464293364,-0.740168643313307,0.459197671566868
"area_m",-0.00678711543839407,0.034076388644946,-0.199173554131907,0.842126985705949
