"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.73941783438047,0.228002167094287,-7.62895307771859,2.36667751783097e-14
"eexp",0.0254370376239784,0.0280062244374967,0.908263721186265,0.363738905013128
"SMKC_102",-0.152949793544564,0.346470847936866,-0.441450686126512,0.65888675484662
"SMKC_103",-11.8682527430369,257.829676496629,-0.0460313680888167,0.963285248281019
"SMKC_106",0.0750146057522164,0.0853378004746516,0.879031394469775,0.379384253845756
"SMKC_2022",-0.170430354971899,0.155454906017385,-1.09633307393232,0.272933040539442
"SMKC_2023",-0.258765712496303,0.102022436640684,-2.53636083411395,0.0112011253038394
"SMKC_2024",-0.520824653231581,594.256916245022,-0.000876430107911166,0.999300710037799
"ALCEDWKY",0.0712175847058431,0.0329848944692108,2.15909693973161,0.0308426470333368
"FVCDVTOT",-0.0471217274898346,0.0340259047059236,-1.38487801858891,0.166089769452164
"married2",-0.1534762366458,0.121745840544038,-1.26062817390697,0.207442842997599
"married3",-0.225391483848513,0.184191832961501,-1.22367794610971,0.221073742399116
"married4",0.0992320376240798,0.172932211799127,0.573820438608306,0.566089316471782
"married5",0.012341763573641,0.119374373595529,0.10338704365024,0.917655794710371
"married6",-0.202170907912456,0.0898126608425401,-2.25102904218485,0.0243836980044256
"married7",0.748154116299052,0.606918429056645,1.23270950506798,0.21768416430952
"job1",0.626899427330972,0.0972597655960809,6.44561935234844,1.15129283330228e-10
"job2",-0.286640036662852,0.203044345200576,-1.41171149770114,0.158034926519735
"white1",0.237329947851395,0.114381138953681,2.07490456925335,0.0379953801575497
"white2",0.463117597365067,0.165949894123162,2.79070739883303,0.00525929933058617
"imi2",0.171416251654645,0.456390039351664,0.375591570530669,0.707220558445978
"imi3",14.6107297721413,535.411192518844,0.0272888015347702,0.978229388624513
"imi7",0.051400240187677,0.0988080585927598,0.520202915832245,0.602922153259668
"INCDHH",-0.0330775559399791,0.0371216915532761,-0.891057345609023,0.372898406428002
"EHG2DVR32",-0.420566840531646,0.150167436803473,-2.80065272128238,0.00509993693097267
"EHG2DVR33",-0.25744739383453,0.140076441624182,-1.83790643772383,0.0660761933271124
"EHG2DVR34",-0.134318356968108,0.153834842579524,-0.873133515891715,0.382590307531613
"DHHE_SEX2",0.419832879737467,0.0668705518341739,6.27829243548898,3.42311619653717e-10
"DHH_AGE",-0.191184257488075,0.0511980373480721,-3.73421067273146,0.000188304824027843
"treediv",-0.00459465105560386,0.0372698101839129,-0.123280774249478,0.901884764617516
"DistancetoLocation",0.0168236790840498,0.031732910813516,0.530165013317472,0.595997526211573
"ModeledSRich",-0.0277647229081974,0.0310259312963165,-0.894887655201302,0.370847146478879
"ndvi",0.00533360107640742,0.0850323754981725,0.0627243569894392,0.949986001507244
"YEAR",0.145328086444079,0.106344279129071,1.36658114225113,0.171756631378829
"bluedist",0.00138731610284241,0.0400484294796603,0.0346409614775781,0.972366038551018
"greendist",-0.0480162759463221,0.0400827617548507,-1.19792833238371,0.230944918710188
"PropBlue",0.0359121348652749,0.0313557169787149,1.14531378407494,0.252079198041931
"PropGreen",-0.0171525542010305,0.0342690374139016,-0.50052629123666,0.616704548430347
"area_m",0.030981820869408,0.0177359512680933,1.74683727988945,0.0806655679025089
