"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.77870886527548,0.15514997697517,-11.4644481420719,1.990241947399e-30
"eexp",0.0166305525814119,0.0190372592970387,0.873579138778595,0.382347491021091
"SMKC_102",-0.124252290104129,0.224062168138518,-0.5545438176217,0.579206726658247
"SMKC_103",-0.359752567879789,0.680568933451458,-0.528605627140999,0.597079055917099
"SMKC_106",-0.0803341778109385,0.0559231420598292,-1.43651044723119,0.150857145723227
"SMKC_2022",-0.149364851846897,0.108778879010661,-1.37310526827784,0.169719623509885
"SMKC_2023",-0.314077663465356,0.0670102018583479,-4.68701264516828,2.77221844520394e-06
"SMKC_2024",-0.168436958431489,0.896873497394215,-0.187804588853242,0.851029838394166
"FVCDVTOT",-0.0535082240669461,0.0227002571102881,-2.35716378924604,0.0184151224610939
"married2",0.0261567745356024,0.0823892091476207,0.317478160140317,0.750880808674803
"married3",-0.233421374204535,0.110656798171682,-2.10941738836854,0.0349085698876563
"married4",0.212856796842509,0.112879208484348,1.88570419389523,0.0593348274343207
"married5",0.146457587507765,0.0777890925521555,1.8827522304566,0.0597339535298737
"married6",-0.0958450010613191,0.0582679243085733,-1.64490158519714,0.0999901079814155
"married7",0.743538519202601,0.435309512317782,1.70806862281431,0.0876236101635088
"job1",0.584951552485415,0.06003234572624,9.74393962802845,1.95812399651164e-22
"job2",-0.207142201393198,0.113324517703676,-1.82786748702377,0.06756944167104
"white1",0.31591235279855,0.0855584906163267,3.69235537610415,0.000222186695126477
"white2",0.375043130490911,0.101692382759123,3.68801595867086,0.000226009478554239
"imi2",0.111536798592756,0.35729318591323,0.312171636600547,0.754910086468041
"imi3",1.06829106215245,1.42170952239933,0.75141303150981,0.452404122467977
"imi7",0.0533026417269887,0.0770157130426249,0.692100866449006,0.488873987593154
"INCDHH",-0.023156969398434,0.0246058686673957,-0.941115703389836,0.346645569004537
"EHG2DVR32",-0.253175018735659,0.0940775329081712,-2.69113156892393,0.00712101050385964
"EHG2DVR33",-0.0859810703655595,0.0878835409038134,-0.978352368160311,0.327900077601696
"EHG2DVR34",-0.0805577286773371,0.099332586050896,-0.810989946804173,0.417371444044913
"DHHE_SEX2",0.357175986880529,0.0438308985484682,8.14895424709497,3.67084792286872e-16
"DHH_AGE",-0.187674541309519,0.0324668023060318,-5.78050586998068,7.44763393364568e-09
"treediv",-0.0250393035814798,0.0258469587714396,-0.968752409244671,0.332668736628817
"DistancetoLocation",0.0148192938846419,0.0212569887076933,0.6971492570478,0.485709390936582
"ModeledSRich",-0.0260708188462988,0.0222808247096344,-1.17010116035003,0.241960261586333
"ndvi",0.122460506583386,0.0451768304294787,2.71069274712726,0.00671428116882422
"YEAR",0.0313084537627468,0.0601282883939426,0.52069424557079,0.602579783697389
"bluedist",0.0267331560719474,0.0254725291403963,1.04948966490932,0.293952809463546
"greendist",-0.0107149257694568,0.0250885489642508,-0.427084315825705,0.669317916279083
"PropBlue",0.011750694215989,0.0217591753893418,0.540033985926911,0.589173594727681
"PropGreen",-0.00560953792496135,0.0239517740542346,-0.234201354449133,0.814828663559419
"area_m",0.0101799802250823,0.0137860501983625,0.738426168380809,0.460255517540705
