"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.78349214929141,0.161468440087402,-11.0454535160308,2.30600276732296e-28
"eexp",0.0121620124217977,0.01550836472137,0.784222749484276,0.432909418612211
"SMKC_102",0.161199454405502,0.1680101671803,0.959462496293519,0.337325804259282
"SMKC_103",0.203624024023964,0.378674420089433,0.537728489756117,0.590764507477018
"SMKC_106",-0.0891771107079949,0.0439628753169452,-2.02846401799434,0.0425129120821076
"SMKC_2022",-0.200444631500488,0.0945375810031679,-2.12026401959419,0.0339837861686645
"SMKC_2023",-0.452892814327767,0.0567305259747035,-7.98322960251972,1.42553385801808e-15
"SMKC_2024",-0.761687223830065,0.629827096955762,-1.2093592471833,0.226524858077643
"ALCEDWKY",-0.0101257627315974,0.0187006487364146,-0.541465853635342,0.588186527342421
"FVCDVTOT",-0.00976972610300019,0.0189629015493195,-0.515202068501526,0.606411823740427
"married2",0.14110934175232,0.0596149015126499,2.36701459151749,0.0179322258035438
"married3",-0.128926019931025,0.0789791604316004,-1.63240555136923,0.102594080454526
"married4",0.402056988453892,0.0910576928970167,4.41540934831948,1.00819023524453e-05
"married5",0.156956863926123,0.0666887587696787,2.35357302822506,0.0185939550950639
"married6",-0.0143843481748904,0.053615760086014,-0.268285820285193,0.788479320047326
"married7",0.448007870315155,0.419849082089318,1.06706883360495,0.28594075423279
"job1",0.60405208916639,0.0513466598963402,11.7641944069169,5.96934092873756e-32
"job2",-0.00999519446318567,0.0756689918586891,-0.132091021932096,0.894912297147955
"white1",0.162127356912857,0.12073046723018,1.34288685062198,0.179308614888628
"white2",0.333176765637595,0.122697653230045,2.715428998572,0.00661899675869451
"imi2",-0.475398047086899,0.641621253962593,-0.740932511432383,0.458734361642697
"imi7",0.0458023838124427,0.0834451658473087,0.548891998084751,0.583079569926243
"INCDHH",-0.0116225225346723,0.0215407214933942,-0.539560503497366,0.589500161002036
"EHG2DVR32",-0.128156371988387,0.0746162773599425,-1.71753907488807,0.0858807212965907
"EHG2DVR33",0.0631867249997119,0.0682191342489514,0.926231704570235,0.35432557940889
"EHG2DVR34",0.023865098405457,0.0932212867979962,0.256004816337398,0.797947118318664
"DHHE_SEX2",0.313092844192755,0.0373835801680733,8.37514338608333,5.51566758599782e-17
"DHH_AGE",-0.258056793739514,0.0289375046609193,-8.91772793692281,4.75951926643748e-19
"treediv",0.0219899547154367,0.0216263602631662,1.01681255874063,0.309242606573429
"DistancetoLocation",0.016184710809908,0.0181319525292956,0.892607168685148,0.372067578839674
"ModeledSRich",0.00567417400461499,0.0188583338131786,0.300884164042624,0.763502826361116
"ndvi",0.0848068449214746,0.0413336709661354,2.05176174627598,0.0401928226610032
"YEAR",-0.0178488199416736,0.0589586373558327,-0.302734607551235,0.762092121600496
"bluedist",0.0224876972528944,0.0213038040608873,1.05557191516705,0.291163837608321
"greendist",-0.00862857536309237,0.0209892764965191,-0.411094463619237,0.681003269439805
"PropBlue",-0.0187307683903794,0.01960414886719,-0.955449201966004,0.339350582476214
"PropGreen",-0.00965235277703627,0.023603894779316,-0.408930511988834,0.682590656607452
"area_m",-0.0251967816736893,0.0206388098756017,-1.22084470110245,0.222144825244099
