"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.7452944841972,0.202516481312834,-8.61803677845451,6.81118061706198e-18
"eexp",-0.0145514231058654,0.023807390242144,-0.611214541277453,0.541057557921269
"SMKC_102",0.197154705419647,0.224252698863451,0.879163133459973,0.379312830465844
"SMKC_103",-0.0427981544245236,0.700746033456895,-0.0610751290498118,0.951299376308093
"SMKC_106",-0.191604109122441,0.0604425803974431,-3.1700186832286,0.00152429136211066
"SMKC_2022",-0.247958108863453,0.126910949019942,-1.95379603397726,0.0507253435082416
"SMKC_2023",-0.50143740065398,0.0753340229247394,-6.65618775138199,2.81021229955981e-11
"SMKC_2024",-0.642284450900315,0.870622686589515,-0.7377299728041,0.460678554538686
"FVCDVTOT",-0.0228540091164119,0.0257395994834903,-0.887892957738942,0.37459833318908
"married2",0.124574686066482,0.0802818830964771,1.55171604428831,0.120730181975508
"married3",0.0792132130816769,0.111255732086136,0.71199219668384,0.476469608155263
"married4",0.408532679467001,0.123636730110844,3.30429864248868,0.000952143458542872
"married5",0.166360666009871,0.0922465314880934,1.80343546067468,0.0713198527488562
"married6",-0.0276667251242672,0.0730069571076254,-0.378960118601868,0.704717479575009
"married7",0.639785243326806,0.561336289647066,1.13975393204858,0.254388831246957
"job1",0.641857416681914,0.0710568873071773,9.03300779144996,1.67016780659299e-19
"job2",-0.0917526073201335,0.116271587190509,-0.789123203158813,0.430040001628378
"white1",0.104391020661614,0.142275724515737,0.733723346107918,0.463117366808717
"white2",0.260251247749691,0.146947428322511,1.77105003279477,0.0765523820538652
"imi2",-0.741743461576213,0.775146950290876,-0.956906895264016,0.338614250595583
"imi7",0.0497616974477619,0.0990098332700789,0.502593487982371,0.615250108624948
"INCDHH",-0.0150692102553671,0.0295527104703295,-0.509909582422106,0.610114808341926
"EHG2DVR32",-0.0762392721748284,0.10836025462205,-0.703572287096809,0.481699174786502
"EHG2DVR33",0.173912860705805,0.0998102450141698,1.74243496427761,0.0814323622620993
"EHG2DVR34",0.110456398801699,0.114514478933409,0.964562733293585,0.334763872825581
"DHHE_SEX2",0.286506063373716,0.0514227234935609,5.57158477632155,2.52432476560782e-08
"DHH_AGE",-0.311934302463047,0.0397743550110489,-7.84259863865536,4.41316816883007e-15
"treediv",0.0440043049192375,0.0293685154373668,1.49834965315438,0.13404242983099
"DistancetoLocation",0.0448804211532126,0.0244645574247895,1.83450778912256,0.0665786526406034
"ModeledSRich",0.0385129827848381,0.0255836347567025,1.50537572753412,0.132227505819674
"ndvi",0.0786455450808772,0.054152204336932,1.45230551634702,0.146416674329026
"YEAR",-0.0242900209809422,0.0722234849731324,-0.336317487171634,0.736631464338858
"bluedist",0.0239645781343178,0.0289719576518516,0.827164612840245,0.408143765934886
"greendist",-0.0082048209430508,0.0289681448519937,-0.283235981626422,0.776995947801993
"PropBlue",-0.0302853271506435,0.0286005051800187,-1.05890881856877,0.289641307711567
"PropGreen",0.0139507057839834,0.0326885792512016,0.426776143336685,0.669542384375853
"area_m",-0.0395717994482721,0.03032179040908,-1.30506143978959,0.191871927618888
