"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.58389014507108,0.0423467146828517,-37.4029049699215,3.504805755387e-306
"DHHE_SEX2",0.246789106290386,0.0355144024560086,6.94898658638792,3.67919525065916e-12
"DHH_AGE",-0.438863916333298,0.017868341460315,-24.5609765913641,3.30167756591486e-133
"treediv",0.0222936657630529,0.0213154619377209,1.04589174882487,0.295611014317311
"DistancetoLocation",0.0107386504815132,0.0177802969103987,0.603963507225393,0.545867904526096
"dist_ChaoEstimated_SpDiv",0.0236867263240534,0.0181717258562652,1.30349348825812,0.192406338058364
"ndvi",0.0249788274512384,0.0246927311900887,1.01158625422791,0.311735920939364
"YEAR",0.0209551388466212,0.0405403628160723,0.516895690886947,0.605228975852662
"bluedist",0.0202907482707328,0.0207747028301825,0.976704621798651,0.328715406391487
"greendist",-0.00779824405733754,0.0205906813751604,-0.37872685780787,0.704890706868315
"PropBlue",-0.0110534564739873,0.0193259570754138,-0.57194872320447,0.567356713884382
"PropGreen",-0.0125749509204543,0.023168077983851,-0.542770571180723,0.587287777822234
"area_m",-0.0185839437422504,0.0197374058462232,-0.941559589291541,0.346418167336742
