"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.40534024543047,0.243297470547077,-9.88641698584798,4.76788043411614e-23
"married2",0.208222164469407,0.105253392639976,1.97829408864416,0.0478955396050512
"married3",0.282327554731551,0.105990127426207,2.66371558924782,0.00772828726268522
"married4",0.617801848121615,0.130774126811908,4.72419019864836,2.3103411567159e-06
"married5",0.366461463283392,0.0977359344310353,3.74950590503614,0.000177183324885463
"married6",0.396181139497988,0.0813844873294843,4.86801788028783,1.12723133445611e-06
"married7",0.453673619798389,0.624608218857445,0.726333093452187,0.467634596505006
"job1",-0.467775269856636,0.0723581972447028,-6.46471702818551,1.01488543424656e-10
"job2",-0.36697756330032,0.103760980951115,-3.53675880794935,0.00040506940582755
"white1",0.0558117226872933,0.203261616874241,0.274580727761426,0.78363837443443
"white2",0.524799289790852,0.191921275175104,2.73445082788263,0.00624844273117452
"imi2",-0.836846144180417,1.050603409698,-0.796538576265394,0.425719062892288
"imi7",-0.20675406472438,0.14481282067354,-1.42773315071652,0.153368680531417
"INCDHH",-0.312137664682413,0.0307691853049725,-10.1444890915578,3.506081745595e-24
"EHG2DVR32",-0.352071146246737,0.0931741841502017,-3.77863406541001,0.000157690949634501
"EHG2DVR33",-0.4574327281821,0.085979201838029,-5.32027186113951,1.03612304351052e-07
"EHG2DVR34",-0.498165945474454,0.138719190671785,-3.59118261187909,0.000329180880600014
"DHHE_SEX2",0.077334416725761,0.0559512305359517,1.38217544073619,0.166917839025381
"DHH_AGE",-0.453368270590731,0.0421183555780036,-10.7641493683458,5.08287673708809e-27
"treerich",-0.0861293002566748,0.0405497715247286,-2.12403910103785,0.0336668741026222
"DistancetoLocation",-0.0131144159258196,0.0279225258099744,-0.469671548163987,0.638589698302417
"ModeledSDiv",-0.0715512530421694,0.0279753880380841,-2.5576500652918,0.0105382078144325
"ndvi500",0.048378978239616,0.0663130482139471,0.729554432236774,0.465662584334293
"YEAR",0.242151191881723,0.0934826075652236,2.59033416149386,0.00958828076197462
"bluedist",0.0545004083001885,0.0316186843546719,1.72367729437597,0.0847661161907187
"greendist",-0.0205304188872063,0.032555375311558,-0.630630692803517,0.528282025397676
"PropBlue",-0.0144935440423772,0.0301426703592311,-0.480831454866061,0.630636292560273
"PropGreen",-0.030774537639212,0.0397703956428546,-0.773805166928007,0.439046016539708
"area_m",-0.00366158913526912,0.0338874889249348,-0.108051356162152,0.913954954312899
