"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.18952120165027,0.278085165243366,-7.87356348093618,3.44680065374368e-15
"eexp",-0.0654046030748727,0.0421520931242599,-1.55163357800684,0.120749924023724
"SMKC_102",0.826493954044983,0.296963770638368,2.7831474265979,0.00538343379353081
"SMKC_103",0.35577352132499,1.07451501937642,0.331101487563626,0.740567828039263
"SMKC_106",-0.299809487706157,0.104248256187339,-2.87591849179124,0.00402853724410228
"SMKC_2022",-0.274171324870208,0.176230823508352,-1.55575125515551,0.119767253324731
"SMKC_2023",-0.637625373975385,0.112998065641353,-5.64279901922534,1.67307611342207e-08
"SMKC_2024",-8.88989509475962,196.970719385601,-0.0451330792845218,0.964001234821941
"ALCEDWKY",-0.00684680954732734,0.0386458522640727,-0.177168030880574,0.859376406060686
"FVCDVTOT",-0.266207383323197,0.0493183137270089,-5.39773895751448,6.74859595134488e-08
"married2",0.116663294672916,0.161435192813412,0.722663334058493,0.469886747257201
"married3",0.139744997213279,0.183116065713677,0.76314984525599,0.445374036132084
"married4",0.130928783065582,0.223554560205154,0.585668138218385,0.558098549333417
"married5",0.421945766569432,0.142378177353578,2.96355645515522,0.00304106272931279
"married6",0.529873694111181,0.115294592441869,4.59582433910194,4.31041726683476e-06
"married7",-0.371425111128536,1.04015096564607,-0.357087695340294,0.72102615575744
"job1",-0.465682509287669,0.103362031962038,-4.50535366273277,6.62624902388193e-06
"job2",-0.362860898619736,0.193101653962737,-1.87911854286736,0.0602283087637223
"white1",0.199121330353152,0.159258000468034,1.25030660794413,0.211187565474779
"white2",0.0188581563416718,0.217777663341993,0.0865936205406765,0.930994536924371
"imi2",-0.134162880117725,0.753039080625466,-0.178161908949388,0.858595823339915
"imi3",-7.38997058955734,196.967882986446,-0.0375186577502378,0.970071463886085
"imi7",0.0804510692295874,0.127833856095434,0.629340862326227,0.529125925091495
"INCDHH",-0.246339633810727,0.0459387235906667,-5.36235259833767,8.21449939638292e-08
"EHG2DVR32",-0.223081823467295,0.152415323123585,-1.46364432981853,0.143291153607594
"EHG2DVR33",-0.187709951254602,0.142855096397869,-1.31398848194962,0.188850080345281
"EHG2DVR34",-0.0810850362471534,0.164638196935897,-0.492504399077721,0.622362812859256
"DHHE_SEX2",0.219279980939033,0.0837888263824954,2.61705516601965,0.00886920060168365
"DHH_AGE",-0.230760025143403,0.0630820809088085,-3.65809151852472,0.000254100319791654
"treerich",-0.136224374764348,0.0602391246462011,-2.26139366341105,0.0237348908026689
"DistancetoLocation",0.0484033227039579,0.0403659921484182,1.19911143335677,0.230484618949134
"ModeledSDiv",0.0379271500721503,0.0464341787503893,0.816793816383203,0.414046266598656
"ndvi500",0.0476676212442248,0.136562090295674,0.349054566615219,0.727048344450822
"YEAR",0.280741535656955,0.133456017813412,2.10362590055299,0.0354110927984811
"bluedist",0.0938297984861808,0.0458960782124469,2.04439686658749,0.0409143566153277
"greendist",0.0932062403797066,0.0474352528036074,1.96491501300945,0.0494240748111315
"PropBlue",0.0282789310511583,0.0454395369718212,0.622341972117698,0.533717027910767
"PropGreen",0.0412316028494639,0.057258012627071,0.720101885442843,0.471462266735449
"area_m",-0.031614602371878,0.0560491484352965,-0.564051430832603,0.57271913088473
