"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.77542596926061,0.150878034638457,-11.7672925254826,5.75417232099554e-32
"eexp",-0.0373814152626183,0.0189790732240743,-1.96961225773665,0.0488828257373911
"SMKC_102",0.430851376020403,0.153366476068944,2.8092930545442,0.0049650428354832
"SMKC_103",0.111153330728461,0.378924091881261,0.293339307555278,0.76926281132481
"SMKC_106",-0.238311555759706,0.0461713903101935,-5.16145505168149,2.45037730094105e-07
"SMKC_2022",-0.313117484192458,0.0850199784298817,-3.68286948520805,0.000230623249427387
"SMKC_2023",-0.666002233057928,0.0510578465174598,-13.0440721355175,6.86881262313508e-39
"SMKC_2024",-0.591540964394135,0.602186545210156,-0.982321788985993,0.325941343448685
"ALCEDWKY",0.0178301666114919,0.0159797109533888,1.11580032101336,0.26450761637087
"FVCDVTOT",-0.0458567726941407,0.00954245632484463,-4.80555227428692,1.54324908064007e-06
"married2",0.202879000636835,0.0733012859684712,2.76774135618982,0.00564462325338067
"married3",0.113833624190336,0.0763686178938525,1.4905811749606,0.136071489767818
"married4",0.650390486975665,0.0858894593496164,7.57241333104945,3.66353629965478e-14
"married5",0.492848474736849,0.0625490714269203,7.87938914988805,3.28985405430718e-15
"married6",0.47626910335179,0.050752348308901,9.38417864830623,6.34087080320115e-21
"married7",0.870832587981327,0.323121567277989,2.69506178531292,0.00703755800619855
"job1",-0.462595932506841,0.0455053923103166,-10.1657388063429,2.81976079299179e-24
"job2",-0.254320795599678,0.0726974865733812,-3.49834371980612,0.000468157366081546
"white1",0.215038170794549,0.100692499512783,2.13559273863542,0.0327126238098133
"white2",0.251412463549765,0.105122605569069,2.39161179642354,0.0167745743756529
"imi2",0.420967986421118,0.340782643412614,1.23529761435478,0.216719761283929
"imi3",-6.21085337395472,50.738037588423,-0.122410200889832,0.902574160125344
"imi7",-0.0525753143248534,0.0857666512102955,-0.613004164007072,0.539873586420147
"INCDHH",-0.256075875100818,0.019780362781594,-12.9459645370661,2.47633338703233e-38
"EHG2DVR32",-0.373276178675451,0.0618099542943774,-6.03909488264105,1.54981097276238e-09
"EHG2DVR33",-0.418523509802397,0.0572934809365769,-7.3049062992995,2.7746002757375e-13
"EHG2DVR34",-0.440490539000967,0.0900948873115598,-4.88918463794392,1.01254491728852e-06
"DHHE_SEX2",0.109730582400553,0.0365751864385081,3.00013733586942,0.00269857901048919
"DHH_AGE",-0.369559273307785,0.0270584854529844,-13.6577959601588,1.81391215065018e-42
"treerich",-0.0564898843061118,0.0267994131607198,-2.10787766013136,0.0350415730636388
"DistancetoLocation",0.00265489827922653,0.0182630100704421,0.145370246689146,0.88441855480103
"ModeledSDiv",-0.0454026317570498,0.0188343865728556,-2.41062439604403,0.0159252395039173
"ndvi500",-0.0630234553704607,0.0454046597350094,-1.38803937169176,0.16512505651101
"YEAR",0.317204592981779,0.0610936641487885,5.19210293573575,2.07931981553349e-07
"bluedist",0.0369844937339685,0.0205411039938367,1.80051148882093,0.0717799111502087
"greendist",-0.00843671581151667,0.0207147641990044,-0.407280320956883,0.683802114610549
"PropBlue",-0.0105755537997191,0.019380216600715,-0.545688111624558,0.585280345292265
"PropGreen",-0.0339294559038606,0.0251521251799844,-1.34896974554107,0.177346684016047
"area_m",0.00298339065148792,0.0202342046504071,0.147442941446572,0.882782413502692
