"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.82638223570174,0.149931913365063,-12.1814108465004,3.9046822365952e-34
"eexp",-0.0297717651238526,0.0166762634705717,-1.78527792969871,0.0742162469058627
"SMKC_102",0.428254958450895,0.153231483895085,2.79482354125158,0.0051928050684908
"SMKC_103",0.0670863205478604,0.379644342683008,0.176708337265743,0.859737491748015
"SMKC_106",-0.240484775246843,0.0461996003470878,-5.20534319431622,1.93638399459788e-07
"SMKC_2022",-0.312860584083991,0.0850220204973668,-3.67975945824153,0.000233454057650681
"SMKC_2023",-0.661291269480721,0.0512241404122525,-12.9097582537968,3.96544028777243e-38
"SMKC_2024",-0.58908775483709,0.602024865956466,-0.978510669822878,0.32782181678925
"ALCEDWKY",-0.00464919407121744,0.017934096114833,-0.259237713540086,0.795451834233089
"FVCDVTOT",-0.125143762250424,0.0206454657112205,-6.06156160393177,1.34806235785163e-09
"married2",0.204343642149801,0.0733143801244464,2.78722457726494,0.00531616230816402
"married3",0.111293142391675,0.0763862698295371,1.45697836325869,0.145122352881383
"married4",0.642040335941881,0.0858799918217418,7.47601766514537,7.66086632519845e-14
"married5",0.484616904424968,0.0625674071011191,7.74551682542555,9.51938459205149e-15
"married6",0.471879268152099,0.050760655061017,9.29616191093033,1.45607032583233e-20
"married7",0.855436330024781,0.322747524597002,2.65048145944085,0.00803771387598994
"job1",-0.466479423811407,0.0454934252126791,-10.253776707967,1.13807867456077e-24
"job2",-0.254467193651328,0.0726929045120333,-3.50057815627941,0.000464250084453242
"white1",0.214053590448773,0.100723766077938,2.12515475526544,0.0335737019356868
"white2",0.262925249378484,0.104576158719119,2.51419876766247,0.0119303172762499
"imi2",0.420366780925135,0.340386665420299,1.23496841571652,0.216842259099727
"imi3",-6.14667081094661,50.7724340479183,-0.121063150235135,0.903641016296769
"imi7",-0.0516734862379038,0.0857727558061979,-0.602446379998087,0.546877045097184
"INCDHH",-0.244360017761403,0.0198589714786625,-12.304767043145,8.53824186370908e-35
"EHG2DVR32",-0.367052320822987,0.0618218784462542,-5.93725603375332,2.89831865589965e-09
"EHG2DVR33",-0.410838251393559,0.0572984851501495,-7.17014158955451,7.49202401458131e-13
"EHG2DVR34",-0.41239446193476,0.0901676299048863,-4.57364203062425,4.79318491587526e-06
"DHHE_SEX2",0.119632624687957,0.0366707067727215,3.26234848511152,0.00110493221183577
"DHH_AGE",-0.364593931111221,0.0270944582772619,-13.4564023159375,2.82331713261005e-41
"treerich",-0.0550933310087251,0.02681095385123,-2.05488142325819,0.0398904591626812
"DistancetoLocation",0.00210183717392781,0.0182746266490047,0.115013959753989,0.90843405718993
"ModeledSDiv",-0.0687980236050883,0.0184190280383924,-3.73516037120344,0.000187595600339439
"ndvi500",-0.0254839044135001,0.0445748660606303,-0.571710173595074,0.567518340928012
"YEAR",0.259621883002932,0.0598113186047381,4.34068148068493,1.4204149833093e-05
"bluedist",0.035803244906383,0.0205626609066434,1.74117761650272,0.0816524495092281
"greendist",-0.00897234926785894,0.0207010459289935,-0.433424924452365,0.664706096500655
"PropBlue",-0.0124532260171412,0.019344204385414,-0.643770390811796,0.519724336720621
"PropGreen",-0.0349888652217551,0.0251562757216382,-1.39086030098086,0.164267793150236
"area_m",0.00254708726857711,0.0202727558803996,0.125640898731471,0.900016186954952
