"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.14292386236315,0.185020350037034,-11.5820981958699,5.07875436587476e-31
"eexp",-0.0511299376363085,0.0242999764303814,-2.10411470080204,0.0353684427897861
"SMKC_102",0.638526581985709,0.195135188284576,3.27222674495033,0.00106703962668986
"SMKC_103",0.97469606742264,0.466847543570253,2.08782520299577,0.0368136052366166
"SMKC_106",-0.199301705855391,0.0638881241926103,-3.11954229951305,0.00181132251704187
"SMKC_2022",-0.290087830760856,0.116303075810725,-2.49424040369279,0.0126227020585435
"SMKC_2023",-0.622701549033355,0.0690970903704794,-9.01197931337777,2.02370513187865e-19
"SMKC_2024",-0.522186289304875,0.702017083465831,-0.743837011382774,0.456975085988955
"FVCDVTOT",-0.249878350025006,0.0300138058029978,-8.32544701812016,8.40111043368085e-17
"married2",0.106265786038455,0.10148506926215,1.04710758746151,0.295049960277184
"married3",0.0609236885679355,0.105685610583697,0.576461528030701,0.564303266664745
"married4",0.427622817936722,0.124471485375382,3.43550827442201,0.000591443401540055
"married5",0.436072118434848,0.0857036766692403,5.08813781837854,3.61596560317408e-07
"married6",0.403984796467053,0.0691822703918937,5.8394266938425,5.23807577747185e-09
"married7",0.981561071006072,0.430597571149121,2.27953229830492,0.0226354422704297
"job1",-0.409223341379357,0.0622472546812859,-6.57415886812413,4.89289682563887e-11
"job2",-0.192138855342051,0.103531245654576,-1.85585379686349,0.0634744001219001
"white1",0.242856778737406,0.117876711568965,2.06026089042466,0.0393736066171051
"white2",0.444637419595257,0.125468551890431,3.54381566453042,0.00039438088111273
"imi2",0.0537443810461257,0.485768763892803,0.110637787031497,0.911903581698892
"imi3",-6.12392049427166,50.3833041245094,-0.12154662344371,0.903258088250836
"imi7",-0.00711870833935782,0.099593574089666,-0.0714775868265227,0.943017662045845
"INCDHH",-0.227913766901512,0.0276056241789142,-8.25606280170974,1.50556428338971e-16
"EHG2DVR32",-0.223560799572345,0.0888533781312618,-2.51606415281231,0.0118673579367155
"EHG2DVR33",-0.261772307374272,0.0835604972473356,-3.13272797551021,0.00173189871347054
"EHG2DVR34",-0.253188808382564,0.105678264707639,-2.39584562713076,0.0165820724659785
"DHHE_SEX2",0.17393091595854,0.0505208993859705,3.44275177347378,0.000575827584388783
"DHH_AGE",-0.343188616579175,0.0375111956676352,-9.1489650082063,5.74816043182486e-20
"treerich",-0.132033285496762,0.0387562495279919,-3.40676115735607,0.000657386259326694
"DistancetoLocation",0.0270079451780599,0.0247902280635687,1.08945932682847,0.27595138160739
"ModeledSDiv",-0.0274987399044804,0.0271812607121219,-1.0116800760539,0.311691044840559
"ndvi500",0.0361495519936269,0.0598088341566636,0.604418268694832,0.545565592898191
"YEAR",0.300574718291024,0.0757664076481644,3.96712379035838,7.27452131334667e-05
"bluedist",0.059505992905267,0.0279968995389715,2.12544938493761,0.0335491332317664
"greendist",0.0346453287576756,0.0280563209055106,1.23484931878117,0.216886588425383
"PropBlue",0.00547067123600586,0.0289199144865162,0.18916623140627,0.849962533235288
"PropGreen",-0.0449738402950162,0.0371700705910071,-1.20994766972267,0.226298973713904
"area_m",0.0159458059636067,0.030072145362223,0.53025169210701,0.59593743537199
