"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.20943760131892,0.361001539770365,-6.12029966056199,9.33995441321799e-10
"eexp",-0.0507971574637728,0.0533754962573852,-0.951694335895648,0.341252022777656
"SMKC_102",0.743030891225121,0.411683605729628,1.8048590735311,0.0710967375239577
"SMKC_103",1.47279289353607,1.23121312161107,1.19621279832438,0.23161352771845
"SMKC_106",-0.287520951652036,0.145347770713949,-1.97815866208152,0.0479108104946238
"SMKC_2022",-0.392801595189589,0.23874754754786,-1.6452591837026,0.099916373187872
"SMKC_2023",-0.723106804096882,0.15209923582765,-4.75417775876443,1.99255669564457e-06
"SMKC_2024",-7.95682676832752,72.4737738423956,-0.109789049837956,0.91257667550777
"ALCEDWKY",-0.0854878808236857,0.05940437230559,-1.43908398499551,0.150126728932192
"FVCDVTOT",-0.239297581943093,0.0644511905960959,-3.71284967321594,0.000204938624969073
"married2",-0.0823363786372761,0.247373222753121,-0.332842729382428,0.739253002033083
"married3",-0.0975081853125931,0.285729720129486,-0.34126021356268,0.732907696991277
"married4",0.259410956275048,0.296691207964108,0.874346624745382,0.381929515329315
"married5",0.634785693429221,0.183724156133759,3.45510196801269,0.000550084739973623
"married6",0.52238003202715,0.153691551121763,3.39888580871496,0.00067660959406982
"married7",0.0485068575761101,1.0720477006924,0.0452469209576974,0.963910495007431
"job1",-0.397696346683836,0.13903073763018,-2.86049224410865,0.00422983899208819
"job2",-0.304293904315722,0.285340772086211,-1.06642279717315,0.286232560825941
"white1",0.414756676524713,0.190064633053364,2.1821875530534,0.0290956935477098
"white2",0.0298264739359066,0.290832233041145,0.102555599233345,0.91831568363309
"imi2",-0.528997205886319,1.04315248570961,-0.507113977230727,0.612074848379582
"imi3",-5.4588084457997,72.4636112027941,-0.0753317196754502,0.93995078452445
"imi7",0.164631828195579,0.162358816196585,1.01399992961418,0.310582785879267
"INCDHH",-0.273196371935176,0.0610160100773756,-4.47745389429315,7.55385344725339e-06
"EHG2DVR32",-0.414132463392406,0.211148444477773,-1.96133324314402,0.049840161795231
"EHG2DVR33",-0.258767834422857,0.194938476511495,-1.32743334745205,0.184365374625329
"EHG2DVR34",-0.0999003604889884,0.223005845896853,-0.447971935835241,0.654173450690253
"DHHE_SEX2",0.25233649930341,0.112586947896693,2.24125890271887,0.0250093093868512
"DHH_AGE",-0.244868378923709,0.0834557489974559,-2.93411037424365,0.00334505233124742
"treediv",-0.0994329815829385,0.0696876004414298,-1.4268389348046,0.153626325672553
"DistancetoLocation",0.097075670947893,0.0540480083808066,1.79610079734902,0.0724784876679593
"ModeledSDiv",-0.0242401692836851,0.0604222102248465,-0.401179784610348,0.688287763097517
"ndvi500",0.0218501704311574,0.175600189790216,0.124431359996029,0.90097374460298
"YEAR",0.27590306652874,0.179311884161572,1.53867696956513,0.123883177471109
"bluedist",0.0492588130318687,0.0637888421001501,0.772216760958462,0.439986056031872
"greendist",0.162244915224085,0.0630960221170574,2.57139689286726,0.0101289171497491
"PropBlue",0.0538814242930914,0.0533727541502657,1.00953052078582,0.312720271892536
"PropGreen",0.0235630682645621,0.0651205118206226,0.361837884958086,0.717473179563685
"area_m",-0.0713975913428334,0.08108866439148,-0.880487943396625,0.37859503373385
