"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.66821650764599,0.186135654827291,-8.96236945680219,3.17775080174823e-19
"eexp",-0.0436407557967851,0.0250537198113922,-1.74188727763057,0.0815281705600377
"SMKC_102",0.506050643489489,0.201668396657904,2.50932050770413,0.0120963673749246
"SMKC_103",-0.15565063363373,0.536573131902239,-0.290082794645202,0.771752898046401
"SMKC_106",-0.25530923768879,0.0634004512667566,-4.02693092221977,5.6509625403211e-05
"SMKC_2022",-0.342837786963736,0.110617817624609,-3.09929986258801,0.0019397858383813
"SMKC_2023",-0.732833632390291,0.0673817089874168,-10.8758540470849,1.50242108044613e-27
"SMKC_2024",0.0507580146419663,0.860328214280423,0.0589984308307501,0.952953357952135
"ALCEDWKY",0.0199317749480305,0.0214311398433117,0.93003802381752,0.352351397585272
"FVCDVTOT",-0.0432671563338845,0.0125200661222796,-3.45582490629902,0.000548611566405543
"married2",0.18918241831831,0.103675840547622,1.82474930821912,0.068038868672819
"married3",-0.0705519960463598,0.112535846268194,-0.62692909313732,0.530705715692042
"married4",0.752896163699611,0.113373338712699,6.64085729721286,3.11863866807244e-11
"married5",0.594742108029478,0.0817989971185776,7.27077505812604,3.57430709551462e-13
"married6",0.53564369057552,0.0651339459897858,8.22372546965784,1.97277373968337e-16
"married7",1.10561664231064,0.382487671547055,2.89059419311147,0.00384514282306588
"job1",-0.473601661317561,0.0590013404030184,-8.02696443983385,9.99140299914713e-16
"job2",-0.210269394364656,0.101957442381831,-2.06232511774075,0.0391767932205664
"white1",0.296711690455662,0.119019986550461,2.49295684746079,0.0126684241582689
"white2",0.0738763146396095,0.136816150783965,0.539967790471326,0.589219245475179
"imi2",0.701010817095335,0.366623045331033,1.91207515736599,0.0558665547488983
"imi3",-5.30850226883786,30.7981344121512,-0.172364410058014,0.863151050050582
"imi7",-0.00490300982378308,0.107338091182792,-0.0456781909362769,0.96356674677325
"INCDHH",-0.236717573254327,0.0258331677098596,-9.1633196483287,5.03248721152605e-20
"EHG2DVR32",-0.437648038836116,0.0826185532302394,-5.29721257181167,1.17583784196862e-07
"EHG2DVR33",-0.457937349063351,0.0765147006858518,-5.98495903347404,2.16444331750816e-09
"EHG2DVR34",-0.42750321088914,0.118507146862679,-3.60740446636955,0.000309275354505602
"DHHE_SEX2",0.11362827188943,0.048161725243478,2.35930650978534,0.0183091261184245
"DHH_AGE",-0.300705136402584,0.0343834129282683,-8.74564537935557,2.21744517762061e-18
"treediv",-0.0327052732365468,0.0296791822433778,-1.10196005295409,0.270479038811871
"DistancetoLocation",0.0123537838891805,0.0242064932101701,0.510350003278879,0.609806277071495
"ModeledSDiv",-0.0422808153132418,0.0248237466582833,-1.70324068704324,0.0885230353516153
"ndvi500",-0.107879536440579,0.0603499394715876,-1.78756660545399,0.0738459572611123
"YEAR",0.362976590417713,0.0797087433957188,4.55378638470931,5.26888595773137e-06
"bluedist",0.00839130651228906,0.0269373018615055,0.311512509880605,0.755411034165313
"greendist",0.00266333461130398,0.0267381680004303,0.0996079690748118,0.92065556688763
"PropBlue",-0.00944805250783133,0.0237804244832846,-0.397303778764438,0.691143461173777
"PropGreen",-0.0437462985611232,0.0292057254140698,-1.4978672140788,0.134167753389937
"area_m",-0.00409324350639498,0.0197985970761235,-0.20674411882099,0.83620969985091
