"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.69805337811467,0.183924075563673,-9.23236054285244,2.64732257696196e-20
"eexp",-0.0390139634339367,0.021740558740518,-1.7945244140035,0.072729505425016
"SMKC_102",0.506979306739178,0.201638754922389,2.51429496742486,0.011927063172534
"SMKC_103",-0.211587327634603,0.537752965066942,-0.393465664309752,0.693975579081594
"SMKC_106",-0.26471332349059,0.0634816853768284,-4.16991643998181,3.04711341382822e-05
"SMKC_2022",-0.34839003312847,0.110635786542419,-3.14898139215463,0.00163840627406356
"SMKC_2023",-0.734215817551331,0.0677014017874577,-10.8449130766352,2.1083618358988e-27
"SMKC_2024",0.0549201223848054,0.859496235787324,0.0638980371269421,0.949051415232611
"ALCEDWKY",-0.015087943791042,0.0250449301851204,-0.602435050907271,0.54688458428957
"FVCDVTOT",-0.133668222325611,0.0271748089247024,-4.91882841553687,8.70637450543384e-07
"married2",0.189967587127408,0.103675326710596,1.83233169505887,0.0669020177235805
"married3",-0.0709081567639288,0.112598944897879,-0.629740863275748,0.528864142405905
"married4",0.750974729850116,0.113380975379416,6.62346330446592,3.50879061306912e-11
"married5",0.588930835422542,0.0818369573969299,7.19639212105698,6.18266620281524e-13
"married6",0.535466010081174,0.0650854089568477,8.22712830207755,1.91755034294842e-16
"married7",1.08826503195191,0.383187369959686,2.84003366829757,0.00451087726172103
"job1",-0.478392264421383,0.0589647197645026,-8.11319491268709,4.93058871039378e-16
"job2",-0.218471159340369,0.101930799013553,-2.14332823302326,0.0320867513213438
"white1",0.294152583997366,0.119063386757644,2.47055448368959,0.0134903767265823
"white2",0.090479718313491,0.13582196614121,0.666164103525212,0.505306214461301
"imi2",0.681400748315631,0.366351124621748,1.85996630696621,0.0628902930278105
"imi3",-5.2384216234018,30.8031828503501,-0.170061050147039,0.864962124741776
"imi7",-0.00428785110822137,0.107378488264848,-0.03993212399904,0.968147240272528
"INCDHH",-0.222514539614218,0.0259449406099085,-8.57641352739264,9.78771945325794e-18
"EHG2DVR32",-0.434336565247497,0.0826566272419364,-5.25470951017867,1.48258288315878e-07
"EHG2DVR33",-0.449350867268113,0.0765188487929663,-5.87242064349272,4.29477310128042e-09
"EHG2DVR34",-0.40164758883907,0.118583845517224,-3.38703460903308,0.000706524744505996
"DHHE_SEX2",0.125488418456356,0.0483615388319789,2.59479788044662,0.0094646559023842
"DHH_AGE",-0.294571437922601,0.0344537657273157,-8.54976028611752,1.23344412940462e-17
"treediv",-0.0366488126530357,0.0296094039363294,-1.23774233118112,0.21581161766628
"DistancetoLocation",0.012215758292953,0.0242242849973545,0.504277352016253,0.614066490303692
"ModeledSDiv",-0.0636662332965957,0.0242585905137367,-2.62448196487525,0.00867808883900014
"ndvi500",-0.076009303612183,0.0592002406392006,-1.28393572038712,0.199164447527116
"YEAR",0.297352760109577,0.0782607598403343,3.79951281735864,0.000144980814262704
"bluedist",0.00534173877020468,0.0269792788902865,0.197994126971566,0.843049658771328
"greendist",0.00111932984331486,0.0267295870383522,0.0418760619724063,0.966597499433107
"PropBlue",-0.00858902793242939,0.0237630598269816,-0.361444527555203,0.717767166426316
"PropGreen",-0.0441592654867221,0.0292168191238249,-1.511433031076,0.130678158974039
"area_m",-0.00490704561440183,0.0197697385208643,-0.248209940117473,0.803971975859852
