"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.10792051903816,0.317101892092233,-6.64745487682251,2.98204361648219e-11
"eexp",-0.0554346507759141,0.0382280736290082,-1.45010317061463,0.147029751096743
"SMKC_102",0.475484648713542,0.312435959956109,1.52186274838638,0.128043474857538
"SMKC_103",1.43176374250243,0.663807318286387,2.15689659191844,0.0310137225519212
"SMKC_106",-0.247535014210425,0.0944996402948245,-2.61942811039442,0.00880773349393706
"SMKC_2022",-0.190287762215529,0.182500199646843,-1.04267152903808,0.297100448388415
"SMKC_2023",-0.545872457914179,0.108365353426778,-5.03733380321617,4.72061130737895e-07
"SMKC_2024",-0.903112150012677,0.923509964376151,-0.977912729531561,0.328117488715888
"FVCDVTOT",-0.267991658870784,0.0468319280375011,-5.72241353497527,1.05021296777479e-08
"married2",0.158513021238374,0.143762345742076,1.10260458272406,0.270198919252697
"married3",0.232734738962323,0.149171006793499,1.56018749196017,0.118715580583129
"married4",0.423722204613277,0.186679016963821,2.26979020730218,0.0232203150201854
"married5",0.210317072116194,0.13880742562823,1.51517162114575,0.129728947828815
"married6",0.395550024930524,0.111077115741511,3.56103975413815,0.000369389145325834
"married7",0.0370249475372244,1.05057364874898,0.0352426006318678,0.971886292922728
"job1",-0.367476964285742,0.0987312731856843,-3.721991547649,0.000197657641007737
"job2",-0.253857285642293,0.150531224663604,-1.68640948885916,0.0917169550502663
"white1",-0.0963026518433285,0.232863979112615,-0.41355752920788,0.679198182381713
"white2",0.487015446531409,0.222684856510351,2.18701645977786,0.0287413224298781
"imi2",-0.50340431781382,1.06855613998594,-0.471107037783195,0.63756429958855
"imi7",-0.111991342477918,0.169501753408069,-0.660709050060993,0.508798918832755
"INCDHH",-0.220494467579686,0.0434864259609085,-5.07042054405429,3.96937609193467e-07
"EHG2DVR32",-0.0951518648072294,0.136132782745957,-0.698963636002329,0.48457475661986
"EHG2DVR33",-0.213631342312203,0.128352557685871,-1.6644104812858,0.0960304269146039
"EHG2DVR34",-0.196246750619858,0.16447089749801,-1.19320046041722,0.232790874403214
"DHHE_SEX2",0.183870255465853,0.0786291555963335,2.33844881165718,0.019363978135935
"DHH_AGE",-0.380951409374207,0.0597897057081318,-6.3715217337555,1.87161762635204e-10
"treerich",-0.144329509789813,0.0590605260788135,-2.44375591231971,0.0145352568090107
"DistancetoLocation",-0.000308684883797193,0.0387033943638236,-0.00797565404459004,0.993636416241303
"ModeledSDiv",0.000998747347568033,0.0420365742194589,0.0237590090561116,0.981044836845885
"ndvi500",0.087197977536318,0.0912861911953028,0.955215420805121,0.339468769013701
"YEAR",0.300861978008454,0.120865864703789,2.48922207064658,0.0128022971686372
"bluedist",0.0776774777931067,0.0432075861897216,1.79777406337929,0.0722128191003875
"greendist",0.00597044256911484,0.0440166803710996,0.135640455363256,0.892105522231282
"PropBlue",-0.0362742920522453,0.0496026266606618,-0.731297806069878,0.464597270270919
"PropGreen",-0.0561616693949093,0.0602370819398892,-0.932343792000967,0.351158882905643
"area_m",0.00242940400136043,0.0495322389015671,0.0490469248964953,0.96088190025426
