"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.81789992123006,0.174778128867919,-10.4011865386422,2.44864884590402e-25
"eexp",0.0136796814052787,0.0216081228710719,0.633080508052483,0.52668107034297
"SMKC_102",0.0733974636499292,0.233871888855567,0.313836194717945,0.753645452773313
"SMKC_103",-9.99721084780692,57.3667574810129,-0.174268361796739,0.861654562386984
"SMKC_106",-0.0791390135106875,0.0607135169754135,-1.3034826090331,0.192410049881286
"SMKC_2022",-0.199507719985916,0.114065660325044,-1.74906031681571,0.0802805937889291
"SMKC_2023",-0.41396754906472,0.0736707171998948,-5.61916002448407,1.91888066998793e-08
"SMKC_2024",-0.70492150940819,205.151712394189,-0.00343609858860801,0.997258395381672
"ALCEDWKY",0.0135645102287081,0.0255369284397499,0.531172347555864,0.595299353335595
"FVCDVTOT",-0.0270236711674333,0.0251058952708319,-1.07638747297849,0.281754002477786
"married2",0.0635385144396168,0.081016004270651,0.784271145085766,0.432881026937976
"married3",-0.0406587231080898,0.126306800171226,-0.321904466370548,0.747525069472425
"married4",0.175872842494246,0.126074233549849,1.39499434216038,0.163017545717767
"married5",0.117979052649265,0.089599863076345,1.31673251050327,0.187928302124138
"married6",-0.101475226339214,0.068075663436771,-1.49062412639525,0.136060206390971
"married7",0.816807028102099,0.470602630663686,1.73566184054298,0.0826236444937434
"job1",0.713189189500362,0.0727169660917416,9.80774127183173,1.04276479251115e-22
"job2",-0.182610254650529,0.140076112534728,-1.30365021805738,0.19235287012174
"white1",0.204687801457669,0.0963022140679731,2.12547347367521,0.033547125190173
"white2",0.373519551500213,0.12973093117882,2.87918654484456,0.00398702421512037
"imi2",0.0643890034466618,0.421932730262729,0.152604903171574,0.878709858122499
"imi3",12.8484525936779,196.967731849473,0.0652312562724584,0.947989875210588
"imi7",0.045976435151298,0.0775884117613603,0.592568324413036,0.55347008283795
"INCDHH",-0.000285285924050672,0.0283636693038807,-0.0100581458976339,0.991974895989882
"EHG2DVR32",-0.232671681234602,0.110525883047307,-2.10513297717797,0.0352797343802929
"EHG2DVR33",-0.0592598719811011,0.102664648549912,-0.577217891631811,0.563792272168065
"EHG2DVR34",0.0111955027672519,0.113199796782041,0.0989003786712457,0.921217368245367
"DHHE_SEX2",0.346304813163302,0.0499260243466363,6.93635869659695,4.02335278367085e-12
"DHH_AGE",-0.21876959737176,0.0386845002998265,-5.65522614163745,1.55641210318892e-08
"treediv",-0.00062454595129592,0.0298133977885229,-0.0209484995882069,0.983286738022488
"DistancetoLocation",0.0287416112783913,0.0237266280989141,1.21136518676696,0.225755475591214
"ModeledSRich",-0.0113607737306062,0.0242707491828066,-0.468085004094318,0.63972380269293
"ndvi",0.0529797757839329,0.0667155539655247,0.794114305208501,0.427128890408263
"YEAR",0.0424795043776258,0.0801437919669398,0.530041109049957,0.596083428738911
"bluedist",0.00151593131833163,0.0288357721180236,0.0525712060744201,0.95807355945821
"greendist",-0.0126769844257957,0.0296300440812167,-0.427842239824137,0.668765981814557
"PropBlue",0.00643203684784206,0.025307020622114,0.254160177283831,0.799371814518854
"PropGreen",-0.0109237074650402,0.0302132378902516,-0.36155368400832,0.717685581048867
"area_m",-0.00106639966861135,0.0198707799898565,-0.0536667241626004,0.9572006948503
