"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.74771444996156,0.22810839366573,-7.66177176506122,1.83385329001183e-14
"eexp",0.0268232617196279,0.0280285999181144,0.956996132450144,0.338569207109302
"SMKC_102",-0.155893221691705,0.346542112776993,-0.449853613583828,0.652815996552053
"SMKC_104",-11.8767597262042,257.878093835895,-0.0460557139597992,0.963265843666315
"SMKC_106",0.0762418501158743,0.0853632620575581,0.893145930440972,0.37177902899575
"SMKC_2022",-0.166263886791957,0.155471664037015,-1.0694160110898,0.2848822558547
"SMKC_2023",-0.255794595441981,0.102045385024544,-2.50667480337751,0.0121872779802872
"SMKC_2024",-0.461219224778249,594.27792680297,-0.000776100211662689,0.999380761685643
"ALCEDWKY",0.0714754501658709,0.0329848030692463,2.16692062753322,0.0302409068045565
"FVCDVTOT",-0.0465779253748934,0.0340350534529765,-1.36852805121186,0.171146847716218
"married2",-0.15228128075843,0.121851737608069,-1.24972596819453,0.211399667796371
"married3",-0.224924550379635,0.184159962923324,-1.22135423361963,0.221951927471979
"married4",0.0989574183924285,0.172940148280717,0.572206161358208,0.567182313824103
"married5",0.0122365181000319,0.119384067784187,0.102497077936329,0.918362132104745
"married6",-0.203020793453494,0.0898004853078513,-2.26079839944633,0.023771743765643
"married7",0.754556789280083,0.606347682628966,1.24442924562443,0.213341624866902
"job1",0.62754290617802,0.097283788183071,6.45064216657656,1.11377195747087e-10
"job2",-0.287710457855007,0.203000203199489,-1.41729147715321,0.156397725954723
"white1",0.23175268760553,0.114413310322571,2.02557453282437,0.0428084034961608
"white2",0.455721266054241,0.166095809865936,2.74372524160649,0.00607463581668704
"imi2",0.174992647755909,0.456501093680292,0.383334564097373,0.701471714522528
"imi3",14.6144615940357,535.411192508352,0.0272957715462919,0.978223829430752
"imi7",0.0538721121353529,0.0988831099200223,0.544806005585031,0.585886947795624
"INCDHH",-0.032026729000921,0.0371292047344659,-0.862575140781067,0.388371103173813
"EHG2DVR32",-0.418725273059577,0.15018476345551,-2.78806760037024,0.00530234782072857
"EHG2DVR33",-0.254698724846198,0.140125334157243,-1.81764936639071,0.0691177412557182
"EHG2DVR34",-0.131224899578982,0.153869930034233,-0.852830046454088,0.39375355900508
"DHHE_SEX2",0.419727692192529,0.0668773138009903,6.27608479373933,3.47204879395555e-10
"DHH_AGE",-0.188944764057149,0.0512360601275336,-3.68773015698005,0.000226263408469676
"treerich",0.00186945232423693,0.0369544774366558,0.0505879788840576,0.959653842021732
"DistancetoLocation",0.0157857075790441,0.031748713245629,0.497207790971415,0.619042527928118
"ModeledSDiv",-0.0598885791912053,0.0341179259818419,-1.75534055684038,0.0792010731774488
"ndvi",0.00919179778604854,0.0841923235227559,0.109176198036204,0.913062738659437
"YEAR",0.159805789113175,0.106928778555792,1.49450682287364,0.135043199948904
"bluedist",-0.00051902426126993,0.040001100605088,-0.0129752495161074,0.989647539224394
"greendist",-0.0459729333277349,0.0400566282560936,-1.14769852903786,0.251093038644539
"PropBlue",0.0351904805615302,0.0313935500932757,1.12094619617639,0.262310765295208
"PropGreen",-0.0177290196534643,0.0345787503097941,-0.512714296920172,0.608151187365017
"area_m",0.0303385885022866,0.0198961906865686,1.52484407594502,0.127297993373418
