"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.56896463634786,0.122420494375891,-12.8161926182913,1.33076364372624e-37
"eexp",0.0214192998645983,0.0150286858192541,1.42522773595791,0.154091381300534
"SMKC_102",-0.0690191248730364,0.164736643815766,-0.418966438033206,0.675240660678994
"SMKC_104",0.160159844909874,0.324869732641254,0.492997127210786,0.622014617203797
"SMKC_106",-0.114687288279468,0.041681356968411,-2.75152482119011,0.00593185243000161
"SMKC_2022",-0.256787619471948,0.0814309858787955,-3.1534386658926,0.00161359132379828
"SMKC_2023",-0.465989835587026,0.0503339226832,-9.25796780274706,2.08359959568154e-20
"SMKC_2024",-0.336096610008735,0.549291952361828,-0.61187244517892,0.540622153724225
"ALCEDWKY",0.0237848754269327,0.0136919705850379,1.73714041227375,0.0823623896747443
"FVCDVTOT",0.00843242779582759,0.00829842548141578,1.01614792043526,0.309558952272564
"married2",0.105005792592666,0.0602306395653576,1.74339494566916,0.0812646505751634
"married3",-0.173125643973616,0.0780655155133564,-2.21769680037526,0.0265755125672231
"married4",0.264763870833881,0.0834486114915547,3.17277742674815,0.0015098822712581
"married5",0.222487356617854,0.0572250926942477,3.88793352955492,0.000101101303071822
"married6",-0.0304912120720632,0.042799778286237,-0.712415187484,0.476207713583755
"married7",0.478653480266601,0.325593517750257,1.47009523891611,0.141535961650119
"job1",0.492976925001299,0.0438303286395343,11.2473928510917,2.38538983874699e-29
"job2",-0.033048041387725,0.0741553290597202,-0.44565969575983,0.655843082396127
"white1",0.275945768031281,0.0722090565380492,3.82148419133376,0.000132650918733035
"white2",0.273209793063799,0.0824944245285744,3.31185767553496,0.000926786826261366
"imi2",0.301601749252341,0.267265610918105,1.12847196545895,0.259120650028005
"imi3",1.05930247467187,1.42960274542618,0.74097680496275,0.458707504270055
"imi7",0.076997643363319,0.0657356827814542,1.17132187733269,0.241469420905591
"INCDHH",-0.0335246197175146,0.0176996295064422,-1.89408595842712,0.0582136012062709
"EHG2DVR32",-0.18504529740987,0.0658170864391552,-2.81150849150602,0.00493097891606382
"EHG2DVR33",-0.0575889904315447,0.060908306758725,-0.945503060192937,0.344402109233576
"EHG2DVR34",-0.0429946051021559,0.0807297442675416,-0.532574523705539,0.594328141492759
"DHHE_SEX2",0.290352712237052,0.0321454357020002,9.03247089038475,1.67838472249421e-19
"DHH_AGE",-0.215349413730838,0.0237541881329969,-9.065745060413,1.23755542085926e-19
"treerich",0.0149405752296471,0.0191577493550481,0.779871108696296,0.435466745702975
"DistancetoLocation",0.00128011038753881,0.0159201004590963,0.0804084365439658,0.935912417241554
"ModeledSDiv",-0.0243137055625828,0.0163083746223696,-1.49087239688697,0.135994999685721
"ndvi",0.0872594888884484,0.0349594211588242,2.49602213068745,0.012559476557774
"YEAR",0.0145108726345337,0.0500317648019176,0.290033195750424,0.771790842008047
"bluedist",0.0129697849144373,0.0186452722179072,0.6956071631918,0.486674878971568
"greendist",-0.0128446859218536,0.0180903135531307,-0.710031138162926,0.47768482697809
"PropBlue",-0.0114595728312005,0.0160849805871711,-0.712439332400583,0.476192766649511
"PropGreen",-0.00997859027252,0.0176157404173842,-0.566458748601482,0.57108196767562
"area_m",0.000185019311535615,0.0112078399860892,0.0165080257895593,0.98682909930704
