"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.55153085591883,0.120552306236596,-12.8701880897558,6.62406480986538e-38
"eexp",0.0250005829662711,0.0127540390097937,1.96020907157908,0.0499713586217406
"SMKC_102",-0.0789735097193259,0.1647812347527,-0.479262762157643,0.631751709818971
"SMKC_104",0.165420018135432,0.324707503468336,0.509443164597404,0.610441627011477
"SMKC_106",-0.109910526331295,0.041712935799178,-2.6349266534594,0.0084155465901641
"SMKC_2022",-0.252650462735693,0.0814198652469494,-3.10305675364845,0.00191532906238267
"SMKC_2023",-0.453808653638366,0.0505041341029246,-8.9855743831491,2.57386342569739e-19
"SMKC_2024",-0.299264095606659,0.548778742347231,-0.545327419802468,0.585528348876257
"ALCEDWKY",0.0306267645993113,0.0161743430710081,1.89353993944945,0.0582861020840791
"FVCDVTOT",-0.0378000213696838,0.01714512683434,-2.20470934598011,0.0274744968853609
"married2",0.104522771946694,0.0602294557363141,1.73540953788952,0.0826682918886591
"married3",-0.179138184966808,0.0780809475333401,-2.29426243694491,0.0217754288241319
"married4",0.262918873529734,0.083438798729301,3.15103857598331,0.00162691001108857
"married5",0.217602339801437,0.0572156815639706,3.80319405193389,0.0001428423761007
"married6",-0.0363232955181106,0.0428104939896267,-0.848467096102933,0.396177889609288
"married7",0.470543148211801,0.325692540853726,1.44474646848953,0.148529112315136
"job1",0.49034485145665,0.0437913787122136,11.1972919299728,4.20388214229819e-29
"job2",-0.0264071142388773,0.0740647437598516,-0.356540951852882,0.721435489227375
"white1",0.27327527365199,0.0721690492573452,3.78659933121091,0.000152723061248819
"white2",0.278287403097287,0.0821712048476663,3.38667789541595,0.000707443940724097
"imi2",0.305412083780082,0.267236374788132,1.14285371526319,0.253099332289539
"imi3",1.10272871656188,1.42814583242653,0.772140135498808,0.440031433163172
"imi7",0.0768585092743385,0.0657088356178381,1.16968301982015,0.242128553906901
"INCDHH",-0.0347035408802305,0.0177716785599738,-1.95274412392262,0.050849922460144
"EHG2DVR32",-0.188036090318879,0.0658130553207401,-2.85712446265387,0.00427498170732003
"EHG2DVR33",-0.0599619016363097,0.0608831347911566,-0.984868828485803,0.324688506577155
"EHG2DVR34",-0.0317248807262849,0.0806154486354569,-0.393533513281614,0.69392547653099
"DHHE_SEX2",0.300004483511776,0.0322788585364802,9.29414784518243,1.4839007071489e-20
"DHH_AGE",-0.213342969884638,0.0237768085107554,-8.97273365296831,2.8924489986364e-19
"treerich",0.0169802609780143,0.0189458271553295,0.896253345858155,0.370117470240542
"DistancetoLocation",0.00107574343508515,0.0159095386823005,0.0676162556669182,0.946091114863833
"ModeledSDiv",-0.0207263073242186,0.0159776288982775,-1.29720795595979,0.19455964401706
"ndvi",0.0739869658935588,0.0346833771257825,2.13321112373914,0.032907411023361
"YEAR",0.0178178912134022,0.0491845829352794,0.362265778218518,0.717153428857404
"bluedist",0.012285166659378,0.0186369319469089,0.659183963024324,0.509777643787094
"greendist",-0.0131985297337807,0.0180818287580142,-0.729933344155298,0.465430929299409
"PropBlue",-0.0116767210904255,0.0160638748570962,-0.726893180773712,0.467291394908804
"PropGreen",-0.010059251926504,0.0176121061527469,-0.571155535815069,0.567894215738472
"area_m",0.000161589057274844,0.0111935008874458,0.014435971274731,0.988482161448766
