"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.77704825249681,0.155118292257736,-11.4560844284191,2.19202480912516e-30
"eexp",0.0168425426254317,0.019045623947651,0.88432611458282,0.376520195007052
"SMKC_102",-0.122319830082475,0.22402425228669,-0.546011553811323,0.585057995226968
"SMKC_104",-0.368810331699068,0.680522947252178,-0.541951352541827,0.587852019083214
"SMKC_106",-0.0801604925208123,0.0559225052849494,-1.43342098341911,0.151737565310649
"SMKC_2022",-0.147711694206322,0.108765440973109,-1.3580756248011,0.174439688818116
"SMKC_2023",-0.312822098460824,0.0670134827235525,-4.6680471712132,3.04076096011909e-06
"SMKC_2024",-0.150864361148914,0.896719785258062,-0.168240250331376,0.866394277024605
"FVCDVTOT",-0.053383941469332,0.0227020102923432,-2.35150723578595,0.0186975259634218
"married2",0.0269715102330414,0.0824014228724537,0.327318501220418,0.743427000521495
"married3",-0.233841689303954,0.110653886982386,-2.11327135160807,0.0345775492994003
"married4",0.212667696009531,0.112868547057629,1.88420690753595,0.0595369935727114
"married5",0.146905643845739,0.0777862136200684,1.88858201227367,0.058947859139543
"married6",-0.095262760832665,0.0582579915948458,-1.63518786392721,0.102009671465669
"married7",0.746115466847929,0.435426621928181,1.71352744474818,0.0866155487569654
"job1",0.585702004495279,0.0600330846895744,9.75632032776412,1.73330336760756e-22
"job2",-0.205586679657449,0.113311369694886,-1.81435173020178,0.0696235921129101
"white1",0.312588801616099,0.0855299327503424,3.65472988887446,0.000257452885731359
"white2",0.363706857168971,0.101886402208359,3.56972912268692,0.000357350547806471
"imi2",0.10893102363365,0.357308997009704,0.304865045507633,0.760468938853748
"imi3",1.06270588477572,1.42246582528548,0.747087111609473,0.455010979470168
"imi7",0.0539368135235907,0.0770247928413512,0.700252626900081,0.483769550910262
"INCDHH",-0.0236026783650793,0.0246025200039273,-0.959360194049697,0.337377320916122
"EHG2DVR32",-0.252892087340791,0.0940679666961486,-2.68839750898054,0.0071795871972623
"EHG2DVR33",-0.085557609746656,0.0878818562789476,-0.973552600835898,0.330278730738052
"EHG2DVR34",-0.0825192724814141,0.0993153031975154,-0.830881745558407,0.406040436892335
"DHHE_SEX2",0.356878227780398,0.0438293323896269,8.14245183129598,3.87352623105246e-16
"DHH_AGE",-0.187200926084828,0.0324684758816051,-5.76562099087892,8.13577103462614e-09
"treerich",-0.0148534647492914,0.0270814174273917,-0.548474421219465,0.583366188019992
"DistancetoLocation",0.0141702343004922,0.0212448331001231,0.666996734392334,0.504774219344115
"ModeledSDiv",-0.0275093836680438,0.022928387977418,-1.19979580313878,0.230218654525721
"ndvi",0.118954568356715,0.04549299742626,2.6147885407975,0.00892827121975073
"YEAR",0.0298888870646092,0.0601755257095377,0.496695071828378,0.619404098228885
"bluedist",0.0287537433419104,0.0254191461789667,1.13118446778133,0.257977457961783
"greendist",-0.00850744906454357,0.0249741337066129,-0.340650417127017,0.73336676967946
"PropBlue",0.0118084840049892,0.0217606853685116,0.542652209938041,0.587369284271309
"PropGreen",-0.00557392856433409,0.0241519001263901,-0.230786337106604,0.817480796142987
"area_m",0.0126058815801048,0.0152762451452394,0.825195030601696,0.409260874273125
