"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.70051798114951,0.209600612037913,-8.11313461642904,4.93303693635276e-16
"eexp",-0.0145483875941537,0.0238143341727668,-0.610908853827653,0.541259923047207
"SMKC_102",0.196117205619432,0.224181617879719,0.874813945381803,0.381675148122938
"SMKC_103",-0.0230559648907901,0.70105644090126,-0.032887458905805,0.973764333730561
"SMKC_106",-0.19141095324658,0.060436532422126,-3.16713989991432,0.00153946238817745
"SMKC_2022",-0.248872836862607,0.126886242323664,-1.96138550803464,0.0498340692362608
"SMKC_2023",-0.499154951025508,0.0753114502794447,-6.62787596273055,3.4055143341155e-11
"SMKC_2024",-0.662421676831093,0.871537366001311,-0.76006113182541,0.447218044492605
"FVCDVTOT",-0.0224436464319922,0.025735760195375,-0.872080181879591,0.383164636841434
"married2",0.124697517763902,0.0802986095334856,1.55292250374399,0.120441649845707
"married3",0.0787145167838851,0.11124718856618,0.707564099357516,0.479215993773596
"married4",0.40994533101413,0.123573997047513,3.31740771366737,0.000908569254817689
"married5",0.166485309811933,0.0922334465405631,1.80504270474936,0.0710679996962876
"married6",-0.0277631235887854,0.0729997762239887,-0.380317927326222,0.703709429489969
"married7",0.644648404961178,0.560838268198543,1.14943726474272,0.250375721472709
"job1",0.640588878794151,0.0710502634089202,9.01599583251829,1.95089835664982e-19
"job2",-0.0928684158692314,0.116260679314036,-0.798794712169032,0.424409457184666
"white1",0.106491745518853,0.142278243123966,0.74847526354446,0.454173540107715
"white2",0.260321653979418,0.14699760525076,1.77092445509803,0.0765732650533087
"imi2",-0.729117981298333,0.775452135201492,-0.940248853797896,0.347089927895905
"imi7",0.050062347345574,0.0990240544112028,0.505557438980305,0.61316736617096
"INCDHH",-0.00452265048433901,0.0085802136603488,-0.52710231509027,0.598122539150573
"EHG2DVR32",-0.0744742979712182,0.108356510951215,-0.687308010542612,0.49188865193826
"EHG2DVR33",0.176066413805285,0.099805810170622,1.76408982106645,0.0777168579446278
"EHG2DVR34",0.10999845699816,0.114500284157064,0.960682829810894,0.336711667057661
"DHHE_SEX2",0.286216710004361,0.0514182196215501,5.56644535946562,2.59988254330103e-08
"DHH_AGE",-0.311373233169399,0.0397637984193653,-7.83057065840465,4.85660498451764e-15
"treediv",0.0413476353171524,0.0293555686604034,1.40851079382852,0.158979873076638
"DistancetoLocation",0.0444492812447081,0.0244698872308015,1.81648901057286,0.0692953921817646
"dist_ChaoEstimated_SpDiv",0.0235401417353388,0.0255351553812686,0.921871881484881,0.356595407625906
"ndvi",0.0805819308660147,0.054338819784676,1.48295327696351,0.138086824910268
"YEAR",-0.0277259964563037,0.0722767075863125,-0.383609012947822,0.701268258831878
"bluedist",0.0214912165318348,0.0289681776770759,0.741890524540726,0.458153667275946
"greendist",-0.0109356117410589,0.0289120689753007,-0.378236913809284,0.705254605544158
"PropBlue",-0.0302450516906496,0.0286074088960601,-1.05724540801789,0.290399601121185
"PropGreen",0.0139847140872377,0.0326903576050853,0.427793242771447,0.668801656979416
"area_m",-0.0364305225707702,0.0301674190899383,-1.20761151168284,0.227196729159098
